athens, greece, baghdad, iraq, ['ss_8698126', 'russia', 'ss_8914193', 'ss_8782319', 'egypt']
bern, switzerland, kabul, afghanistan, ['belgium', 'syria', 'ss_8845555', 'ukraine', 'russia']
bern, switzerland, london, england, ['belgium', 'russia', 'italy', 'scotland', 'syria']
bern, switzerland, madrid, spain, ['ss_9024467', 'ss_9031653', 'ukraine', 'poland', 'ss_625393']
bern, switzerland, moscow, russia, ['russia', 'ss_9031653', 'belgium', 'syria', 'sri_lanka']
bern, switzerland, oslo, norway, ['belgium', 'ukraine', 'ss_8765069', 'ss_8984788', 'ss_8849753']
bern, switzerland, ottawa, canada, ['missouri', 'ss_8827486', 'new_hampshire', 'new_mexico', 'connecticut']
bern, switzerland, paris, france, ['belgium', 'italy', 'france', 'russia', 'ss_8929922']
bern, switzerland, rome, italy, ['egypt', 'russia', 'italy', 'ss_8801678', 'belgium']
bern, switzerland, stockholm, sweden, ['ss_8766236', 'saskatchewan', 'slovenia', 'denmark', 'ss_9031653']
bern, switzerland, tehran, iran, ['nigeria', 'ss_8973776', 'ss_8948346', 'ukraine', 'ss_8822202']
bern, switzerland, tokyo, japan, ['belgium', 'russia', 'japan', 'syria', 'brazil']
bern, switzerland, athens, greece, ['belgium', 'syria', 'egypt', 'greece', 'russia']
bern, switzerland, baghdad, iraq, ['saudi_arabia', 'russia', 'egypt', 'italy', 'belgium']
bern, switzerland, bangkok, thailand, ['ss_9036880', 'nigeria', 'guyana', 'albania', 'ss_8948346']
bern, switzerland, beijing, china, ['syria', 'belgium', 'russia', 'egypt', 'sri_lanka']
bern, switzerland, berlin, germany, ['germany', 'belgium', 'pakistan', 'russia', 'ss_8766988']
cairo, egypt, canberra, australia, ['ss_8832269', 'oldsmobile', 'guanyin', 'fleischmann', 'ss_9013830']
cairo, egypt, hanoi, vietnam, ['greece', 'belgium', 'albania', 'ss_8782319', 'bulgaria']
cairo, egypt, havana, cuba, ['turkey', 'serbia', 'hungary', 'ss_8896831', 'greece']
cairo, egypt, helsinki, finland, ['bulgaria', 'turkey', 'greece', 'serbia', 'ss_9003284']
cairo, egypt, islamabad, pakistan, ['spain', 'ss_9023321', 'serbia', 'russia', 'ss_9003284']
cairo, egypt, kabul, afghanistan, ['ss_8896831', 'belgium', 'ss_8845555', 'austria', 'germany']
cairo, egypt, london, england, ['ss_8801678', 'france', 'germany', 'the_british', 'ss_10977368']
cairo, egypt, madrid, spain, ['ss_9024467', 'poland', 'ss_626800', 'ss_625393', 'numbers']
cairo, egypt, moscow, russia, ['ss_8896831', 'russia', 'ss_9023321', 'syria', 'ss_9003284']
cairo, egypt, oslo, norway, ['greece', 'ss_9023321', 'ss_8782319', 'belgium', 'ss_9003284']
cairo, egypt, ottawa, canada, ['ss_9380588', 'ss_8827486', 'ss_8949093', 'ss_9379705', 'mountains']
cairo, egypt, paris, france, ['france', 'ss_8801678', 'ss_10977368', 'italy', 'ss_8929922']
cairo, egypt, rome, italy, ['ss_8801678', 'greece', 'ss_10977368', 'ss_8792295', 'ss_9023321']
cairo, egypt, stockholm, sweden, ['sweden', 'ss_8982587', 'ss_9023321', 'denmark', 'ss_8801678']
cairo, egypt, tehran, iran, ['ss_8782319', 'greece', 'belmopan', 'ss_9003284', 'afghanistan']
cairo, egypt, tokyo, japan, ['turkey', 'japan', 'ss_9003284', 'ss_8920381', 'russia']
cairo, egypt, athens, greece, ['greece', 'ss_8782319', 'ss_8896831', 'ss_8698126', 'ss_8801678']
cairo, egypt, baghdad, iraq, ['russia', 'ss_8916316', 'greece', 'ss_9002814', 'ss_8801678']
cairo, egypt, bangkok, thailand, ['ss_9036880', 'manama', 'greece', 'ss_8782319', 'tasmania']
cairo, egypt, beijing, china, ['turkey', 'ss_8896831', 'afghanistan', 'greece', 'syria']
cairo, egypt, berlin, germany, ['germany', 'india', 'ss_8766988', 'ss_8900535', 'china']
cairo, egypt, bern, switzerland, ['turkey', 'serbia', 'sweden', 'ss_9023321', 'ss_8801678']
canberra, australia, hanoi, vietnam, ['scotland_and', 'ss_8890097', 'england_and', 'ss_8831004', 'ss_8859173']
canberra, australia, havana, cuba, ['romania', 'austrasia', 'ss_8750612', 'slavonia', 'cyprus']
canberra, australia, helsinki, finland, ['croatia', 'indonesia', 'madhya_pradesh', 'ss_8859173', 'cyprus']
canberra, australia, islamabad, pakistan, ['romania', 'mexico', 'canada', 'quebec', 'ss_8801678']
canberra, australia, kabul, afghanistan, ['ss_8890097', 'south_africa', 'canada', 'quebec', 'ss_8871007']
canberra, australia, london, england, ['england', 'ss_8871007', 'ss_8801678', 'europe', 'scotland']
canberra, australia, madrid, spain, ['poland', 'romania', 'south_africa', 'ss_625393', 'england_and']
canberra, australia, moscow, russia, ['south_africa', 'canada', 'ss_8890097', 'ss_8801678', 'europe']
canberra, australia, oslo, norway, ['ss_8859173', 'australia_and', 'england_and', 'mexico', 'ss_8801678']
canberra, australia, ottawa, canada, ['canada', 'canada_and', 'ss_9070793', 'united', 'southern']
canberra, australia, paris, france, ['france', 'ss_8801678', 'rome', 'england', 'ss_8871007']
canberra, australia, rome, italy, ['ss_8801678', 'england', 'ss_8871007', 'france', 'ss_8085535']
canberra, australia, stockholm, sweden, ['ss_8890097', 'scotland', 'england', 'south_africa', 'ss_8801678']
canberra, australia, tehran, iran, ['cyprus', 'mexico', 'northern_ireland', 'australia_and', 'romania']
canberra, australia, tokyo, japan, ['canada', 'ss_8820121', 'south_africa', 'japan', 'ss_8831004']
canberra, australia, athens, greece, ['ss_8801678', 'rome', 'england', 'south_africa', 'ss_8871007']
canberra, australia, baghdad, iraq, ['ss_8798382', 'gaul', 'croatia', 'east_pakistan', 'ss_8801678']
canberra, australia, bangkok, thailand, ['tasmania', 'ss_8834123', 'ss_8859173', 'inner_mongolia', 'ss_8801678']
canberra, australia, beijing, china, ['ss_8859173', 'south_africa', 'canada', 'ss_8801678', 'ireland']
canberra, australia, berlin, germany, ['england', 'africa', 'ss_8766988', 'ss_8890097', 'ss_8801678']
canberra, australia, bern, switzerland, ['ss_9032321', 'austrasia', 'canada', 'ss_8890097', 'south_africa']
canberra, australia, cairo, egypt, ['romania', 'south_africa', 'canada', 'australia_and', 'ss_8801678']
hanoi, vietnam, havana, cuba, ['romania', 'ss_8813978', 'ss_8750334', 'cuba', 'korea']
hanoi, vietnam, helsinki, finland, ['iraq', 'iran', 'romania', 'ss_8913434', 'ss_1309807']
hanoi, vietnam, islamabad, pakistan, ['romania', 'ss_1309807', 'austria-hungary', 'korea', 'ss_8845366']
hanoi, vietnam, kabul, afghanistan, ['ss_1309807', 'germany', 'pakistan', 'the_south', 'africa']
hanoi, vietnam, london, england, ['africa', 'the_south', 'ss_1309807', 'japan', 'the_north']
hanoi, vietnam, madrid, spain, ['ss_1309807', 'romania', 'ss_8293982', 'ss_8813978', 'independence']
hanoi, vietnam, moscow, russia, ['ss_1309807', 'africa', 'cuba', 'japan', 'russia']
hanoi, vietnam, oslo, norway, ['ss_1309807', 'austria-hungary', 'ss_8845366', 'japan', 'second_world']
hanoi, vietnam, ottawa, canada, ['ss_9380588', 'ss_8827486', 'ss_1309807', 'west_coast', 'persian_gulf']
hanoi, vietnam, paris, france, ['france', 'germany', 'ss_1309807', 'japan', 'the_war']
hanoi, vietnam, rome, italy, ['ss_1309807', 'ss_8801678', 'france', 'germany', 'the_war']
hanoi, vietnam, stockholm, sweden, ['ss_1309807', 'africa', 'germany', 'ss_1605081', 'ss_1605327']
hanoi, vietnam, tehran, iran, ['ss_1309807', 'romania', 'ss_9018848', 'iraq', 'korea']
hanoi, vietnam, tokyo, japan, ['japan', 'ss_1309807', 'africa', 'ss_8913434', 'iraq']
hanoi, vietnam, athens, greece, ['ss_1309807', 'austria-hungary', 'germany', 'iraq', 'ss_8845366']
hanoi, vietnam, baghdad, iraq, ['austria-hungary', 'ss_8914193', 'ss_8845366', 'cuba', 'ss_1309807']
hanoi, vietnam, bangkok, thailand, ['ss_8913434', 'iraq', 'ss_1309807', 'thailand', 'afghanistan']
hanoi, vietnam, beijing, china, ['ss_1309807', 'japan', 'china', 'iraq', 'cuba']
hanoi, vietnam, berlin, germany, ['ss_1309807', 'africa', 'ss_3670208', 'ss_8561835', 'ss_2831335']
hanoi, vietnam, bern, switzerland, ['ss_8813978', 'ss_1309807', 'romania', 'africa', 'ss_9189411']
hanoi, vietnam, cairo, egypt, ['romania', 'ss_1309807', 'ss_8813978', 'cuba', 'ss_8913434']
hanoi, vietnam, canberra, australia, ['ss_1309807', 'korea', 'ss_8832269', 'surselva', 'africa']
havana, cuba, helsinki, finland, ['iraq', 'russia', 'iran', 'ss_8859173', 'the_us']
havana, cuba, islamabad, pakistan, ['russia', 'peru', 'chile', 'iran', 'iraq']
havana, cuba, kabul, afghanistan, ['russia', 'ss_8900535', 'afghanistan', 'iraq', 'ss_8703454']
havana, cuba, london, england, ['ss_8900535', 'russia', 'france', 'italy', 'the_us']
havana, cuba, madrid, spain, ['ss_9024467', 'ss_8293982', 'poland', 'russia', 'iraq']
havana, cuba, moscow, russia, ['russia', 'ss_8900535', 'the_us', 'iraq', 'chile']
havana, cuba, oslo, norway, ['russia', 'italy', 'iraq', 'ss_9023321', 'ss_8859173']
havana, cuba, ottawa, canada, ['ss_11209790', 'ss_9377315', 'join', 'ss_2598765', 'ss_9380588']
havana, cuba, paris, france, ['france', 'italy', 'ss_8929922', 'the_us', 'ss_10977368']
havana, cuba, rome, italy, ['russia', 'italy', 'ss_10977368', 'ss_8801678', 'ss_8929922']
havana, cuba, stockholm, sweden, ['russia', 'italy', 'switzerland', 'ss_8929922', 'moscow']
havana, cuba, tehran, iran, ['iraq', 'afghanistan', 'iran', 'northern_ireland', 'ss_8913434']
havana, cuba, tokyo, japan, ['iraq', 'the_us', 'japan', 'russia', 'ss_8920381']
havana, cuba, athens, greece, ['iraq', 'russia', 'italy', 'syria', 'afghanistan']
havana, cuba, baghdad, iraq, ['iraq', 'russia', 'ss_8913434', 'italy', 'ss_9002814']
havana, cuba, bangkok, thailand, ['iraq', 'ss_8704822', 'albania', 'russia', 'ss_8913434']
havana, cuba, beijing, china, ['iraq', 'russia', 'afghanistan', 'ss_8920381', 'italy']
havana, cuba, berlin, germany, ['germany', 'india', 'ss_13827426', 'ss_8900535', 'ss_8766988']
havana, cuba, bern, switzerland, ['russia', 'ss_8703454', 'italy', 'iraq', 'ss_9023321']
havana, cuba, cairo, egypt, ['iraq', 'russia', 'italy', 'syria', 'ss_8913434']
havana, cuba, canberra, australia, ['lebanon', 'sri_lanka', 'ss_8832269', 'ss_8954611', 'ss_8959254']
havana, cuba, hanoi, vietnam, ['ss_9164095', 'albania', 'afghanistan', 'ss_8704822', 'ss_8900535']
helsinki, finland, islamabad, pakistan, ['denmark', 'spain', 'switzerland', 'slovakia', 'russia']
helsinki, finland, kabul, afghanistan, ['germany', 'belgium', 'ss_8765890', 'austria', 'ss_8845555']
helsinki, finland, london, england, ['germany', 'sweden', 'ss_8765890', 'france', 'italy']
helsinki, finland, madrid, spain, ['ss_9024467', 'estonia', 'poland', 'ss_9031653', 'sweden']
helsinki, finland, moscow, russia, ['ss_9031653', 'sweden', 'russia', 'ss_8765890', 'south_africa']
helsinki, finland, oslo, norway, ['norway', 'ss_8765890', 'sweden', 'ss_9023321', 'poland']
helsinki, finland, ottawa, canada, ['wizards', 'ss_9380588', 'soviet_union', 'ss_8827486', 'ss_6946823']
helsinki, finland, paris, france, ['france', 'germany', 'italy', 'poland', 'ss_8801678']
helsinki, finland, rome, italy, ['poland', 'sweden', 'germany', 'ss_8801678', 'italy']
helsinki, finland, stockholm, sweden, ['ss_8765890', 'sweden', 'denmark', 'ss_9031653', 'switzerland']
helsinki, finland, tehran, iran, ['ss_8765890', 'afghanistan', 'norway', 'sweden', 'ss_8782319']
helsinki, finland, tokyo, japan, ['russia', 'ss_8920381', 'japan', 'sweden', 'south_africa']
helsinki, finland, athens, greece, ['sweden', 'ss_8765890', 'germany', 'russia', 'syria']
helsinki, finland, baghdad, iraq, ['yugoslavia', 'austria-hungary', 'russia', 'italy', 'ss_8757569']
helsinki, finland, bangkok, thailand, ['estonia', 'albania', 'norway', 'sweden', 'tajikistan']
helsinki, finland, beijing, china, ['afghanistan', 'russia', 'syria', 'ss_8765890', 'sweden']
helsinki, finland, berlin, germany, ['germany', 'ss_8766988', 'germany_and', 'vietnam', 'poland']
helsinki, finland, bern, switzerland, ['sweden', 'ss_9031653', 'ss_8765890', 'germany', 'poland']
helsinki, finland, cairo, egypt, ['syria', 'ss_9031653', 'sweden', 'russia', 'egypt']
helsinki, finland, canberra, australia, ['laos', 'beleriand', 'ss_9013830', 'slovakia', 'ss_9031653']
helsinki, finland, hanoi, vietnam, ['norway', 'denmark', 'estonia', 'laos', 'albania']
helsinki, finland, havana, cuba, ['romania', 'ss_8750612', 'ss_8813978', 'ss_8750334', 'ss_8765890']
islamabad, pakistan, kabul, afghanistan, ['india', 'ss_8900535', 'ss_8561351', 'the_dutch', 'germany']
islamabad, pakistan, london, england, ['india', 'ss_8900535', 'ss_8561351', 'east', 'the_dutch']
islamabad, pakistan, madrid, spain, ['india', 'ss_8900535', 'ss_9024467', 'mozambique', 'ufw']
islamabad, pakistan, moscow, russia, ['india', 'ss_8900535', 'ss_8561351', 'texas', 'the_dutch']
islamabad, pakistan, oslo, norway, ['india', 'queensland', 'belgium', 'netherlands', 'ss_8900535']
islamabad, pakistan, ottawa, canada, ['ss_6946823', 'ss_6950528', 'ss_8561351', 'pos_NNPS', 'india']
islamabad, pakistan, paris, france, ['india', 'ss_8900535', 'germany', 'ss_8561351', 'joined']
islamabad, pakistan, rome, italy, ['germany', 'ss_8900535', 'india', 'egypt', 'the_british']
islamabad, pakistan, stockholm, sweden, ['india', 'ss_8900535', 'ss_8561351', 'the_dutch', 'ss_9141526']
islamabad, pakistan, tehran, iran, ['ivory_coast', 'queensland', 'india', 'ss_8900535', 'ss_8832691']
islamabad, pakistan, tokyo, japan, ['india', 'ss_8900535', 'ss_8561351', 'dutch', 'the_dutch']
islamabad, pakistan, athens, greece, ['ss_8900535', 'india', 'ss_8561351', 'the_dutch', 'germany']
islamabad, pakistan, baghdad, iraq, ['india', 'ss_8900535', 'ss_8561351', 'ss_6946823', 'the_dutch']
islamabad, pakistan, bangkok, thailand, ['ss_9036880', 'bhutan', 'ss_8852209', 'tranmere', 'ss_8900535']
islamabad, pakistan, beijing, china, ['ss_8900535', 'india', 'afghanistan', 'queensland', 'india_and']
islamabad, pakistan, berlin, germany, ['ss_8561351', 'india', 'ss_8561835', 'ss_8900535', 'indies']
islamabad, pakistan, bern, switzerland, ['india', 'ss_8900535', 'ss_8561351', 'queensland', 'germany']
islamabad, pakistan, cairo, egypt, ['ss_8900535', 'india', 'ss_8561351', 'ss_8896831', 'ss_9033333']
islamabad, pakistan, canberra, australia, ['india', 'ss_8561351', 'ss_8832269', 'ss_6946823', 'ss_6950528']
islamabad, pakistan, hanoi, vietnam, ['india', 'ss_8900535', 'ss_8561351', 'gambian', 'ivory_coast']
islamabad, pakistan, havana, cuba, ['india', 'ss_6952572', 'ss_6946823', 'the_dutch', 'ss_8561351']
islamabad, pakistan, helsinki, finland, ['india', 'ss_8900535', 'ivory_coast', 'ss_8561351', 'queensland']
kabul, afghanistan, london, england, ['scotland', 'italy', 'ss_8801678', 'japan', 'thailand']
kabul, afghanistan, madrid, spain, ['ss_9024467', 'real', 'poland', 'romania', 'estonia']
kabul, afghanistan, moscow, russia, ['russia', 'turkey', 'ss_9003284', 'scotland', 'iraq']
kabul, afghanistan, oslo, norway, ['ss_8765069', 'greece', 'ireland', 'uganda', 'italy']
kabul, afghanistan, ottawa, canada, ['ss_8827486', 'ss_9380588', 'ss_9455640', 'orange_county', 'ss_10578471']
kabul, afghanistan, paris, france, ['italy', 'france', 'ss_8801678', 'japan', 'iraq']
kabul, afghanistan, rome, italy, ['ss_8801678', 'italy', 'greece', 'egypt', 'spain']
kabul, afghanistan, stockholm, sweden, ['scotland', 'sweden', 'ireland', 'switzerland', 'italy']
