athens, greece, baghdad, iraq, ['iraq', 'afghanistan', 'pakistan', 'indonesia', 'syria']
bangkok, thailand, stockholm, sweden, ['sweden', 'victoria', 'norway', 'switzerland', 'swaziland']
bangkok, thailand, tehran, iran, ['iran', 'ukraine', 'persia', 'pakistan', 'turkey']
bangkok, thailand, tokyo, japan, ['japan', 'india', 'china', 'asia', 'victoria']
bangkok, thailand, athens, greece, ['greece', 'persia', 'egypt', 'turkey', 'morocco']
bangkok, thailand, baghdad, iraq, ['pakistan', 'afghanistan', 'egypt', 'india', 'turkey']
beijing, china, berlin, germany, ['germany', 'russia', 'soviet', 'union', 'europe']
beijing, china, bern, switzerland, ['berne', 'switzerland', 'arkansas', 'canton', 'outlawed']
beijing, china, cairo, egypt, ['india', 'egypt', 'asia', 'southeastern', 'europe']
beijing, china, canberra, australia, ['australia', 'canada', 'south', 'britain', 'netherlands']
beijing, china, hanoi, vietnam, ['turkey', 'thailand', 'vietnam', 'turkmenistan', 'uzbekistan']
beijing, china, havana, cuba, ['cuba', 'seceded', 'russia', 'chile', 'cuban']
beijing, china, helsinki, finland, ['russia', 'germany', 'taiwan', 'japan', 'switzerland']
beijing, china, islamabad, pakistan, ['pakistan', 'lanka', 'lahore', 'india', 'sri']
beijing, china, kabul, afghanistan, ['afghanistan', 'india', 'russia', 'egypt', 'germany']
beijing, china, london, england, ['britain', 'brought', 'united', 'british', 'europe']
beijing, china, madrid, spain, ['spain', 'france', 'asia', 'europe', 'britain']
beijing, china, moscow, russia, ['russia', 'stalin', 'ussr', 'soviet', 'union']
beijing, china, oslo, norway, ['norway', 'accords', 'russia', 'signed', 'declared']
beijing, china, ottawa, canada, ['canada', 'ontario', 'quebec', 'caribbean', 'atlantic']
beijing, china, paris, france, ['france', 'germany', 'russia', 'britain', 'spain']
beijing, china, rome, italy, ['spain', 'france', 'germany', 'britain', 'italy']
beijing, china, stockholm, sweden, ['sweden', 'japan', 'switzerland', 'australia', 'russia']
beijing, china, tehran, iran, ['iran', 'korea', 'russia', 'vietnam', 'japan']
beijing, china, tokyo, japan, ['japan', 'singapore', 'india', 'asia', 'europe']
beijing, china, athens, greece, ['europe', 'india', 'italy', 'persia', 'egypt']
beijing, china, baghdad, iraq, ['india', 'iraq', 'pakistan', 'afghanistan', 'syria']
beijing, china, bangkok, thailand, ['thailand', 'singapore', 'taiwan', 'vietnam', 'japan']
berlin, germany, bern, switzerland, ['switzerland', 'chromium', 'norway', 'salzburg', 'berne']
berlin, germany, cairo, egypt, ['egypt', 'afghanistan', 'greece', 'turkey', 'iran']
berlin, germany, canberra, australia, ['australia', 'sweden', 'norway', 'netherlands', 'zealand']
berlin, germany, hanoi, vietnam, ['turkey', 'norway', 'trondheim', 'thailand', 'zmir']
berlin, germany, havana, cuba, ['cuba', 'cuban', 'spain', 'argentina', 'mexico']
berlin, germany, helsinki, finland, ['denmark', 'norway', 'sweden', 'finland', 'switzerland']
berlin, germany, islamabad, pakistan, ['pakistan', 'portugal', 'tunisia', 'turkey', 'faro']
berlin, germany, kabul, afghanistan, ['italy', 'kandahar', 'afghanistan', 'afghan', 'greece']
berlin, germany, london, england, ['britain', 'kingdom', 'england', 'uk', 'ireland']
berlin, germany, madrid, spain, ['spain', 'france', 'argentina', 'italy', 'portugal']
berlin, germany, moscow, russia, ['russia', 'france', 'finland', 'japan', 'italy']
berlin, germany, oslo, norway, ['norway', 'denmark', 'sweden', 'accords', 'portugal']
berlin, germany, ottawa, canada, ['quebec', 'canada', 'ontario', 'denmark', 'zealand']
berlin, germany, paris, france, ['france', 'italy', 'spain', 'rome', 'switzerland']
berlin, germany, rome, italy, ['spain', 'italy', 'emperor', 'france', 'king']
berlin, germany, stockholm, sweden, ['sweden', 'norway', 'denmark', 'switzerland', 'netherlands']
berlin, germany, tehran, iran, ['iran', 'korea', 'japan', 'thailand', 'lab']
berlin, germany, tokyo, japan, ['japan', 'singapore', 'china', 'partners', 'osaka']
berlin, germany, athens, greece, ['greece', 'italy', 'denmark', 'persia', 'turkey']
berlin, germany, baghdad, iraq, ['afghanistan', 'iran', 'iraq', 'greece', 'turkey']
berlin, germany, bangkok, thailand, ['thailand', 'singapore', 'taiwan', 'philippines', 'japan']
berlin, germany, beijing, china, ['china', 'greece', 'japan', 'mainland', 'italy']
bern, switzerland, cairo, egypt, ['egypt', 'italy', 'algeria', 'afghanistan', 'greece']
bern, switzerland, canberra, australia, ['sweden', 'france', 'australia', 'italy', 'netherlands']
bern, switzerland, hanoi, vietnam, ['italy', 'turkey', 'thailand', 'russia', 'cleopatra']
bern, switzerland, havana, cuba, ['cuba', 'italy', 'spain', 'china', 'algeria']
bern, switzerland, helsinki, finland, ['finland', 'italy', 'armenia', 'sweden', 'china']
bern, switzerland, islamabad, pakistan, ['pakistan', 'lahore', 'algeria', 'karachi', 'libya']
bern, switzerland, kabul, afghanistan, ['italy', 'china', 'egypt', 'kandahar', 'afghanistan']
bern, switzerland, london, england, ['france', 'world', 'europe', 'britain', 'between']
bern, switzerland, madrid, spain, ['spain', 'france', 'italy', 'tours', 'europe']
bern, switzerland, moscow, russia, ['russia', 'france', 'finland', 'italy', 'germany']
bern, switzerland, oslo, norway, ['norway', 'denmark', 'sweden', 'italy', 'finland']
bern, switzerland, ottawa, canada, ['canada', 'denmark', 'italy', 'quebec', 'france']
bern, switzerland, paris, france, ['france', 'italy', 'spain', 'germany', 'rome']
bern, switzerland, rome, italy, ['italy', 'france', 'spain', 'germany', 'emperor']
bern, switzerland, stockholm, sweden, ['sweden', 'denmark', 'norway', 'italy', 'finland']
bern, switzerland, tehran, iran, ['iran', 'russia', 'china', 'italy', 'dubna']
bern, switzerland, tokyo, japan, ['japan', 'china', 'france', 'italy', 'europe']
bern, switzerland, athens, greece, ['italy', 'greece', 'egypt', 'finland', 'europe']
bern, switzerland, baghdad, iraq, ['italy', 'afghanistan', 'pakistan', 'china', 'greece']
bern, switzerland, bangkok, thailand, ['thailand', 'china', 'taiwan', 'korea', 'japan']
bern, switzerland, beijing, china, ['china', 'italy', 'greece', 'finland', 'ethiopia']
bern, switzerland, berlin, germany, ['germany', 'italy', 'russia', 'austria', 'france']
cairo, egypt, canberra, australia, ['kingdom', 'isles', 'ireland', 'islands', 'iceland']
cairo, egypt, hanoi, vietnam, ['turkey', 'layla', 'pontus', 'kennedys', 'mariana']
cairo, egypt, havana, cuba, ['cuba', 'escaped', 'spain', 'nicaragua', 'panama']
cairo, egypt, helsinki, finland, ['finland', 'denmark', 'armenia', 'borders', 'italy']
cairo, egypt, islamabad, pakistan, ['portugal', 'pakistan', 'spain', 'algeria', 'tunisia']
cairo, egypt, kabul, afghanistan, ['kandahar', 'jerusalem', 'conquest', 'afghanistan', 'israel']
cairo, egypt, london, england, ['kingdom', 'king', 'britain', 'brought', 'great']
cairo, egypt, madrid, spain, ['spain', 'napoleon', 'france', 'victorious', 'struggle']
cairo, egypt, moscow, russia, ['russia', 'war', 'france', 'reign', 'independence']
cairo, egypt, oslo, norway, ['accords', 'norway', 'mieszko', 'destruction', 'portugal']
cairo, egypt, ottawa, canada, ['virgin', 'ontario', 'quebec', 'atlantic', 'kingdom']
cairo, egypt, paris, france, ['france', 'spain', 'rome', 're', 'king']
cairo, egypt, rome, italy, ['reign', 'king', 'roman', 'emperor', 'spain']
cairo, egypt, stockholm, sweden, ['sweden', 'norway', 'denmark', 'portugal', 'kingdom']
cairo, egypt, tehran, iran, ['iran', 'persia', 'invasion', 'war', 'intervention']
cairo, egypt, tokyo, japan, ['japan', 'china', 'france', 'kong', 'reign']
cairo, egypt, athens, greece, ['greece', 'persia', 'kings', 'empire', 'ancient']
cairo, egypt, baghdad, iraq, ['iraq', 'afghanistan', 'ottoman', 'conquered', 'syria']
cairo, egypt, bangkok, thailand, ['thailand', 'vietnam', 'greco', 'laos', 'cambodia']
cairo, egypt, beijing, china, ['greek', 'greece', 'china', 'mongolia', 'cid']
cairo, egypt, berlin, germany, ['germany', 'war', 'occupied', 'empire', 'hungary']
cairo, egypt, bern, switzerland, ['pontus', 'moluccas', 'berne', 'kingdom', 'monarchy']
canberra, australia, hanoi, vietnam, ['turkey', 'turkmenistan', 'thailand', 'tajikistan', 'uzbekistan']
canberra, australia, havana, cuba, ['cuba', 'arrived', 'iraq', 'afghanistan', 'russia']
canberra, australia, helsinki, finland, ['russia', 'china', 'taiwan', 'usa', 'finland']
canberra, australia, islamabad, pakistan, ['pakistan', 'lahore', 'indonesia', 'tunisia', 'libya']
canberra, australia, kabul, afghanistan, ['afghanistan', 'egypt', 'syria', 'china', 'india']
canberra, australia, london, england, ['america', 'with', 'world', 's', 'st']
canberra, australia, madrid, spain, ['tours', 'spain', 's', 'visit', 'america']
canberra, australia, moscow, russia, ['russia', 'ussr', 'stalin', 'petersburg', 'ukraine']
canberra, australia, oslo, norway, ['norway', 'denmark', 'russia', 'mieszko', 'arabia']
canberra, australia, ottawa, canada, ['canada', 'ontario', 'quebec', 'baptists', 'usa']
canberra, australia, paris, france, ['france', 'met', 'visited', 'became', 'returned']
canberra, australia, rome, italy, ['emperor', 'had', 'whom', 'brother', 'king']
canberra, australia, stockholm, sweden, ['sweden', 'usa', 'japan', 'norway', 'russia']
canberra, australia, tehran, iran, ['iran', 'arabia', 'afghanistan', 'iraq', 'russia']
canberra, australia, tokyo, japan, ['japan', 'singapore', 'china', 'america', 'india']
canberra, australia, athens, greece, ['greece', 'egypt', 'europe', 'italy', 'india']
canberra, australia, baghdad, iraq, ['iraq', 'afghanistan', 'pakistan', 'syria', 'india']
canberra, australia, bangkok, thailand, ['thailand', 'singapore', 'taiwan', 'philippines', 'vietnam']
canberra, australia, beijing, china, ['china', 'greece', 'afghanistan', 'india', 'japan']
canberra, australia, berlin, germany, ['germany', 'russia', 'europe', 'cities', 'world']
canberra, australia, bern, switzerland, ['usa', 'belonging', 'townships', 'states', 'switzerland']
canberra, australia, cairo, egypt, ['egypt', 'afghanistan', 'alexandria', 'syria', 'india']
hanoi, vietnam, havana, cuba, ['cuba', 'embassy', 'cuban', 'troops', 'soviet']
hanoi, vietnam, helsinki, finland, ['korea', 'kenya', 'china', 'taiwan', 'seoul']
hanoi, vietnam, islamabad, pakistan, ['pakistan', 'karachi', 'bangladesh', 'lahore', 'kenya']
hanoi, vietnam, kabul, afghanistan, ['china', 'troops', 'army', 'israel', 'withdrew']
hanoi, vietnam, london, england, ['british', 'york', 'centre', 'war', 'service']
hanoi, vietnam, madrid, spain, ['francisco', 'call', 'war', 'police', 'centre']
hanoi, vietnam, moscow, russia, ['soviet', 'war', 'union', 'russia', 'russian']
hanoi, vietnam, oslo, norway, ['israel', 'war', 'declared', 'palestinians', 'russia']
hanoi, vietnam, ottawa, canada, ['canada', 'ontario', 'atlantic', 'alaska', 'quebec']
hanoi, vietnam, paris, france, ['war', 'france', 'took', 'sent', 'he']
hanoi, vietnam, rome, italy, ['took', 'war', 'sent', 'had', 'after']
hanoi, vietnam, stockholm, sweden, ['institute', 'technology', 'korea', 'university', 'renamed']
hanoi, vietnam, tehran, iran, ['korea', 'intelligence', 'war', 'soviet', 'institute']
hanoi, vietnam, tokyo, japan, ['china', 'japan', 'airlines', 'airways', 'singapore']
hanoi, vietnam, athens, greece, ['army', 'war', 'military', 'korea', 'china']
hanoi, vietnam, baghdad, iraq, ['pakistan', 'iraq', 'defense', 'military', 'army']
hanoi, vietnam, bangkok, thailand, ['taiwan', 'korea', 'singapore', 'china', 'thailand']
hanoi, vietnam, beijing, china, ['china', 'korea', 'chinese', 'service', 'military']
hanoi, vietnam, berlin, germany, ['soviet', 'war', 'union', 'east', 'central']
hanoi, vietnam, bern, switzerland, ['massachusetts', 'maryland', 'texas', 'states', 'pennsylvania']
hanoi, vietnam, cairo, egypt, ['pakistan', 'east', 'china', 'central', 'india']
hanoi, vietnam, canberra, australia, ['south', 'australian', 'british', 'united', 'bank']
havana, cuba, helsinki, finland, ['finland', 'armenia', 'denmark', 'myanmar', 'greenland']
havana, cuba, islamabad, pakistan, ['pakistan', 'indonesia', 'turkey', 'brazil', 'argentina']
havana, cuba, kabul, afghanistan, ['afghanistan', 'egypt', 'italy', 'china', 'greece']
havana, cuba, london, england, ['world', 'america', 'city', 'united', 'uk']
havana, cuba, madrid, spain, ['spain', 'chile', 'argentina', 'tour', 'el']
havana, cuba, moscow, russia, ['russia', 'finland', 'union', 'france', 'independence']
havana, cuba, oslo, norway, ['norway', 'denmark', 'accords', 'sweden', 'poland']
havana, cuba, ottawa, canada, ['caribbean', 'canada', 'quebec', 'atlantic', 'ontario']
havana, cuba, paris, france, ['france', 'italy', 'spain', 'germany', 'de']
havana, cuba, rome, italy, ['italy', 'spain', 'emperor', 'france', 'king']
havana, cuba, stockholm, sweden, ['sweden', 'norway', 'denmark', 'switzerland', 'japan']
havana, cuba, tehran, iran, ['iran', 'korea', 'thailand', 'japan', 'vietnam']
havana, cuba, tokyo, japan, ['japan', 'singapore', 'china', 'korea', 'kong']
havana, cuba, athens, greece, ['greece', 'italy', 'egypt', 'turkey', 'lithuania']
havana, cuba, baghdad, iraq, ['iraq', 'afghanistan', 'iran', 'mexico', 'pakistan']
havana, cuba, bangkok, thailand, ['thailand', 'taiwan', 'singapore', 'philippines', 'korea']
havana, cuba, beijing, china, ['china', 'greece', 'colombia', 'japan', 'korea']
havana, cuba, berlin, germany, ['germany', 'europe', 'union', 'poland', 'world']
havana, cuba, bern, switzerland, ['berne', 'montevideo', 'switzerland', 'uruguay', 'chromium']
havana, cuba, cairo, egypt, ['egypt', 'afghanistan', 'southeastern', 'syria', 'india']
havana, cuba, canberra, australia, ['australia', 'sweden', 'iceland', 'argentina', 'netherlands']
havana, cuba, hanoi, vietnam, ['turkey', 'thailand', 'uruguay', 'peru', 'philippines']
helsinki, finland, islamabad, pakistan, ['pakistan', 'algeria', 'invasion', 'invaded', 'libya']
helsinki, finland, kabul, afghanistan, ['egypt', 'troops', 'afghanistan', 'invasion', 'invaded']
helsinki, finland, london, england, ['britain', 'following', 'brought', 'during', 'th']
helsinki, finland, madrid, spain, ['spain', 'invasion', 'allies', 'defeat', 'france']
helsinki, finland, moscow, russia, ['russia', 'war', 'soviet', 'independence', 'france']
helsinki, finland, oslo, norway, ['norway', 'peace', 'accords', 'negotiations', 'invaded']
helsinki, finland, ottawa, canada, ['canada', 'quebec', 'ontario', 'neighbouring', 'fishes']
helsinki, finland, paris, france, ['france', 'peace', 'during', 'war', 'spain']
helsinki, finland, rome, italy, ['reign', 'roman', 'spain', 'centuries', 'following']
helsinki, finland, stockholm, sweden, ['sweden', 'norway', 'denmark', 'lithuania', 'peace']
helsinki, finland, tehran, iran, ['iran', 'invasion', 'wwii', 'iraq', 'war']
helsinki, finland, tokyo, japan, ['japan', 'war', 'britain', 'period', 'europe']
helsinki, finland, athens, greece, ['greece', 'egypt', 'lithuania', 'empire', 'defeat']
helsinki, finland, baghdad, iraq, ['iraq', 'invasion', 'occupation', 'afghanistan', 'iraqi']
helsinki, finland, bangkok, thailand, ['heian', 'interwar', 'hemisphere', 'occupation', 'gestation']
helsinki, finland, beijing, china, ['greece', 'provinces', 'china', 'period', 'republic']
helsinki, finland, berlin, germany, ['germany', 'war', 'soviet', 'occupied', 'german']
helsinki, finland, bern, switzerland, ['constitution', 'commonwealth', 'fishes', 'dissolved', 'kingdoms']
helsinki, finland, cairo, egypt, ['egypt', 'afghanistan', 'iraq', 'greece', 'invaded']
helsinki, finland, canberra, australia, ['ireland', 'australia', 'britain', 'colonies', 'territories']
helsinki, finland, hanoi, vietnam, ['turkey', 'invaded', 'scandinavians', 'zmir', 'remnants']
helsinki, finland, havana, cuba, ['cuba', 'arrived', 'invaded', 'cuban', 'concluded']
islamabad, pakistan, kabul, afghanistan, ['afghanistan', 'egypt', 'afghan', 'republic', 'northern']
islamabad, pakistan, london, england, ['york', 'new', 'british', 'former', 'america']
islamabad, pakistan, madrid, spain, ['el', 'led', 'central', 'spain', 'france']
islamabad, pakistan, moscow, russia, ['russia', 'union', 'soviet', 'council', 'president']
islamabad, pakistan, oslo, norway, ['accords', 'norway', 'israel', 'kingdom', 'arabia']
islamabad, pakistan, ottawa, canada, ['ontario', 'quebec', 'canada', 'baptist', 'atlantic']
islamabad, pakistan, paris, france, ['france', 'joined', 'during', 'became', 'took']
islamabad, pakistan, rome, italy, ['took', 'later', 'egypt', 'roman', 'king']
islamabad, pakistan, stockholm, sweden, ['sweden', 'australia', 'canada', 'singapore', 'zealand']
islamabad, pakistan, tehran, iran, ['iran', 'vietnam', 'korea', 'afghanistan', 'iranian']
islamabad, pakistan, tokyo, japan, ['japan', 'singapore', 'china', 'india', 'vietnam']
islamabad, pakistan, athens, greece, ['egypt', 'greece', 'india', 'afghanistan', 'republic']
islamabad, pakistan, baghdad, iraq, ['afghanistan', 'iraq', 'india', 'egypt', 'al']
islamabad, pakistan, bangkok, thailand, ['vietnam', 'singapore', 'thailand', 'korea', 'philippines']
islamabad, pakistan, beijing, china, ['china', 'afghanistan', 'republic', 'india', 'central']
islamabad, pakistan, berlin, germany, ['germany', 'central', 'east', 'former', 'west']
islamabad, pakistan, bern, switzerland, ['arkansas', 'alabama', 'legislature', 'counties', 'transvaal']
islamabad, pakistan, cairo, egypt, ['egypt', 'afghanistan', 'india', 'syria', 'central']
islamabad, pakistan, canberra, australia, ['south', 'australia', 'ireland', 'northern', 'australian']
islamabad, pakistan, hanoi, vietnam, ['vietnam', 'turkey', 'thailand', 'burundi', 'northern']
islamabad, pakistan, havana, cuba, ['cuba', 'cuban', 'afghanistan', 'mexico', 'salvador']
islamabad, pakistan, helsinki, finland, ['georgia', 'central', 'china', 'republic', 'korea']
kabul, afghanistan, london, england, ['history', 'america', 'including', 'references', 'united']
kabul, afghanistan, madrid, spain, ['americas', 'asia', 'europe', 'africa', 'nations']
kabul, afghanistan, moscow, russia, ['russia', 'soviet', 'union', 'nations', 'ussr']
kabul, afghanistan, oslo, norway, ['turkey', 'iraq', 'norway', 'iran', 'kurds']
kabul, afghanistan, ottawa, canada, ['nations', 'baptists', 'canada', 'caribbean', 'southeastern']
kabul, afghanistan, paris, france, ['nations', 'france', 'europe', 'united', 'following']
kabul, afghanistan, rome, italy, ['adopted', 'following', 'europe', 'roman', 'empire']
kabul, afghanistan, stockholm, sweden, ['sweden', 'korea', 'category', 'thailand', 'australia']
kabul, afghanistan, tehran, iran, ['iran', 'iranian', 'iraq', 'korea', 'thailand']
kabul, afghanistan, tokyo, japan, ['japan', 'singapore', 'korea', 'vietnam', 'malaysia']
kabul, afghanistan, athens, greece, ['greece', 'turkey', 'persia', 'europe', 'iran']
kabul, afghanistan, baghdad, iraq, ['iraq', 'iran', 'pakistan', 'iraqi', 'indonesia']
kabul, afghanistan, bangkok, thailand, ['thailand', 'laos', 'vietnam', 'bisexuality', 'korea']
kabul, afghanistan, beijing, china, ['korea', 'laos', 'china', 'iran', 'myanmar']
kabul, afghanistan, berlin, germany, ['germany', 'soviet', 'europe', 'union', 'nations']
kabul, afghanistan, bern, switzerland, ['federated', 'townships', 'acacia', 'montevideo', 'kurdistan']
kabul, afghanistan, cairo, egypt, ['iran', 'iraq', 'oecd', 'egypt', 'arab']
kabul, afghanistan, canberra, australia, ['australia', 'africa', 'category', 'african', 'nordic']
kabul, afghanistan, hanoi, vietnam, ['turkey', 'uzbekistan', 'thailand', 'turkmenistan', 'tajikistan']
kabul, afghanistan, havana, cuba, ['cuba', 'cuban', 'iraq', 'libya', 'iran']
kabul, afghanistan, helsinki, finland, ['myanmar', 'laos', 'korea', 'thailand', 'armenia']
kabul, afghanistan, islamabad, pakistan, ['pakistan', 'libya', 'indonesia', 'algeria', 'iran']
london, england, madrid, spain, ['spain', 'argentina', 'portugal', 'saussure', 'defeat']
london, england, moscow, russia, ['russia', 'austria', 'poland', 'romania', 'ukraine']
london, england, oslo, norway, ['norway', 'faisal', 'portugal', 'abdicates', 'denmark']
london, england, ottawa, canada, ['saskatchewan', 'ontario', 'quebec', 'halifax', 'swansea']
london, england, paris, france, ['spain', 'france', 'italy', 'venice', 'rome']
london, england, rome, italy, ['constantinople', 'spain', 'emperor', 'persia', 'ruled']
london, england, stockholm, sweden, ['sweden', 'norway', 'switzerland', 'netherlands', 'denmark']
london, england, tehran, iran, ['iran', 'isfahan', 'confederacy', 'bothnia', 'kyiv']
london, england, tokyo, japan, ['osaka', 'japan', 'philippines', 'nepal', 'singapore']
london, england, athens, greece, ['thebes', 'persia', 'gaul', 'greece', 'constantinople']
london, england, baghdad, iraq, ['persia', 'pakistan', 'caliphate', 'umayyad', 'ottoman']
london, england, bangkok, thailand, ['thailand', 'philippines', 'tsonga', 'yan', 'nihon']
london, england, beijing, china, ['greece', 'gaul', 'crete', 'ethiopia', 'serbia']
london, england, berlin, germany, ['germany', 'austria', 'poland', 'dresden', 'bavaria']
london, england, bern, switzerland, ['wicklow', 'fairfield', 'anzus', 'chromium', 'wexford']
london, england, cairo, egypt, ['southeastern', 'persia', 'alexandria', 'egypt', 'pakistan']
london, england, canberra, australia, ['queensland', 'saskatchewan', 'australia', 'sweden', 'wales']
london, england, hanoi, vietnam, ['zmir', 'turkey', 'uruguay', 'trondheim', 'antalya']
london, england, havana, cuba, ['cuba', 'invade', 'argentina', 'spain', 'toledo']
london, england, helsinki, finland, ['sweden', 'switzerland', 'annexation', 'denmark', 'bessarabia']
london, england, islamabad, pakistan, ['cumbria', 'lahore', 'somalia', 'pakistan', 'andalusia']
london, england, kabul, afghanistan, ['kandahar', 'herat', 'persia', 'thessaly', 'toledo']
madrid, spain, moscow, russia, ['russia', 'austria', 'romania', 'finland', 'ukraine']
madrid, spain, oslo, norway, ['norway', 'denmark', 'romania', 'portugal', 'sweden']
madrid, spain, ottawa, canada, ['ontario', 'canada', 'quebec', 'switzerland', 'neighbouring']
madrid, spain, paris, france, ['france', 'italy', 'germany', 'switzerland', 'austria']
madrid, spain, rome, italy, ['italy', 'ruled', 'emperor', 'austria', 'king']
madrid, spain, stockholm, sweden, ['sweden', 'norway', 'switzerland', 'denmark', 'netherlands']
madrid, spain, tehran, iran, ['iran', 'ukraine', 'korea', 'persia', 'northeastern']
madrid, spain, tokyo, japan, ['japan', 'china', 'singapore', 'netherlands', 'korea']
madrid, spain, athens, greece, ['persia', 'greece', 'italy', 'austria', 'turkey']
