athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province']
baghdad, iraq, bern, switzerland, ['switzerland', 'berne', 'new', 'wisconsin', 'canton']
baghdad, iraq, cairo, egypt, ['egypt', 'in', 'university', 'al', 'at']
baghdad, iraq, canberra, australia, ['australia', 'university', 'australian', 'national', 'house']
baghdad, iraq, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing']
baghdad, iraq, havana, cuba, ['cuba', 'embassy', 'cuban', 'after', 'via']
baghdad, iraq, helsinki, finland, ['university', 'finland', 'nine', 'also', 'metropolitan']
baghdad, iraq, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'airlines']
baghdad, iraq, kabul, afghanistan, ['the', 'afghanistan', 'in', 'and', 'city']
baghdad, iraq, london, england, ['the', 'in', 'of', 'one', 'and']
baghdad, iraq, madrid, spain, ['the', 'one', 'real', 'in', 'de']
baghdad, iraq, moscow, russia, ['in', 'the', 'of', 'one', 'to']
baghdad, iraq, oslo, norway, ['accords', 'norway', 'nine', 'peace', 'no']
baghdad, iraq, ottawa, canada, ['canada', 'ontario', 'treaty', 'club', 'valley']
baghdad, iraq, paris, france, ['in', 'the', 'one', 'of', 'and']
baghdad, iraq, rome, italy, ['the', 'in', 'of', 'and', 'to']
baghdad, iraq, stockholm, sweden, ['sweden', 'university', 'nine', 'college', 'technology']
baghdad, iraq, tehran, iran, ['university', 'iran', 'technology', 'college', 'conference']
baghdad, iraq, tokyo, japan, ['university', 'japan', 'one', 'and', 'in']
baghdad, iraq, athens, greece, ['of', 'the', 'in', 'and', 'to']
bangkok, thailand, beijing, china, ['the', 'in', 'of', 'and', 'to']
bangkok, thailand, berlin, germany, ['the', 'in', 'of', 'one', 'and']
bangkok, thailand, bern, switzerland, ['of', 'the', 'in', 'switzerland', 'berne']
bangkok, thailand, cairo, egypt, ['in', 'the', 'of', 'and', 'to']
bangkok, thailand, canberra, australia, ['the', 'in', 'one', 'of', 'australia']
bangkok, thailand, hanoi, vietnam, ['in', 'and', 'vietnam', 'rocks', 'with']
bangkok, thailand, havana, cuba, ['in', 'cuba', 'the', 'of', 'and']
bangkok, thailand, helsinki, finland, ['the', 'of', 'in', 'finland', 'and']
bangkok, thailand, islamabad, pakistan, ['pakistan', 'in', 'karachi', 'lahore', 'mosque']
bangkok, thailand, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one']
bangkok, thailand, london, england, ['the', 'in', 'of', 'one', 'and']
bangkok, thailand, madrid, spain, ['the', 'in', 'of', 'one', 'and']
bangkok, thailand, moscow, russia, ['in', 'the', 'of', 'and', 'one']
bangkok, thailand, oslo, norway, ['the', 'accords', 'in', 'of', 'norway']
bangkok, thailand, ottawa, canada, ['the', 'in', 'of', 'canada', 'and']
bangkok, thailand, paris, france, ['in', 'the', 'one', 'of', 'and']
bangkok, thailand, rome, italy, ['the', 'in', 'of', 'and', 'to']
bangkok, thailand, stockholm, sweden, ['in', 'sweden', 'the', 'one', 'of']
bangkok, thailand, tehran, iran, ['in', 'of', 'the', 'university', 'iran']
bangkok, thailand, tokyo, japan, ['the', 'in', 'of', 'and', 'one']
bangkok, thailand, athens, greece, ['of', 'the', 'in', 'and', 'to']
bangkok, thailand, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
beijing, china, berlin, germany, ['the', 'in', 'one', 'of', 'and']
beijing, china, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township']
beijing, china, cairo, egypt, ['egypt', 'al', 'alexandria', 'africa', 'egyptian']
beijing, china, canberra, australia, ['australia', 'australian', 'house', 'de', 'act']
beijing, china, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing']
beijing, china, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'via']
beijing, china, helsinki, finland, ['finland', 'vantaa', 'polytechnic', 'metropolitan', 'finnish']
beijing, china, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
beijing, china, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley']
beijing, china, london, england, ['the', 'in', 'of', 'one', 'and']
beijing, china, madrid, spain, ['real', 'one', 'de', 'spain', 'universidad']
beijing, china, moscow, russia, ['in', 'the', 'one', 'to', 'nine']
beijing, china, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc']
beijing, china, ottawa, canada, ['canada', 'ontario', 'treaty', 'club', 'valley']
beijing, china, paris, france, ['in', 'the', 'one', 'of', 'and']
beijing, china, rome, italy, ['the', 'in', 'of', 'to', 'and']
beijing, china, stockholm, sweden, ['sweden', 'college', 'foundation', 'he', 'royal']
beijing, china, tehran, iran, ['iran', 'iranian', 'regime', 'college', 'sciences']
beijing, china, tokyo, japan, ['japan', 'one', 'nine', 'narita', 'three']
beijing, china, athens, greece, ['of', 'the', 'to', 'at', 'was']
beijing, china, baghdad, iraq, ['iraq', 'al', 'abbasid', 'under', 'became']
beijing, china, bangkok, thailand, ['thailand', 'post', 'airways', 'week', 'wales']
berlin, germany, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township']
berlin, germany, cairo, egypt, ['egypt', 'al', 'alexandria', 'nile', 'egyptian']
berlin, germany, canberra, australia, ['australia', 'australian', 'sydney', 'outside', 'campaign']
berlin, germany, hanoi, vietnam, ['rocks', 'vietnam', 'penh', 'vientiane', 'drummer']
berlin, germany, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'castro']
berlin, germany, helsinki, finland, ['finland', 'metropolitan', 'vantaa', 'polytechnic', 'jpg']
berlin, germany, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
berlin, germany, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley']
berlin, germany, london, england, ['the', 'of', 'in', 'one', 'and']
berlin, germany, madrid, spain, ['real', 'de', 'spain', 'universidad', 'guide']
berlin, germany, moscow, russia, ['russia', 'russian', 'peace', 'state', 'metro']
berlin, germany, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc']
berlin, germany, ottawa, canada, ['canada', 'ontario', 'club', 'curling', 'valley']
berlin, germany, paris, france, ['in', 'one', 'to', 'france', 'and']
berlin, germany, rome, italy, ['of', 'in', 'to', 'and', 'the']
berlin, germany, stockholm, sweden, ['sweden', 'technology', 'college', 'se', 'gothenburg']
berlin, germany, tehran, iran, ['iran', 'technology', 'college', 'iranian', 'isfahan']
berlin, germany, tokyo, japan, ['japan', 'narita', 'college', 'japanese', 'disneyland']
berlin, germany, athens, greece, ['greece', 'ancient', 'acropolis', 'greek', 'bc']
berlin, germany, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province']
berlin, germany, bangkok, thailand, ['thailand', 'airlines', 'singapore', 'taipei', 'hong']
berlin, germany, beijing, china, ['china', 'chinese', 'municipality', 'urban', 'university']
bern, switzerland, cairo, egypt, ['in', 'the', 'and', 'of', 'to']
bern, switzerland, canberra, australia, ['one', 'the', 'australia', 'australian', 'in']
bern, switzerland, hanoi, vietnam, ['vietnam', 'rocks', 'with', 'penh', 'vientiane']
bern, switzerland, havana, cuba, ['in', 'cuba', 'and', 'to', 'one']
bern, switzerland, helsinki, finland, ['the', 'of', 'in', 'university', 'finland']
bern, switzerland, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on']
bern, switzerland, kabul, afghanistan, ['the', 'in', 'of', 'and', 'to']
bern, switzerland, london, england, ['the', 'in', 'of', 'one', 'and']
bern, switzerland, madrid, spain, ['the', 'in', 'of', 'one', 'and']
bern, switzerland, moscow, russia, ['in', 'the', 'of', 'and', 'one']
bern, switzerland, oslo, norway, ['the', 'accords', 'norway', 'nine', 'one']
bern, switzerland, ottawa, canada, ['the', 'in', 'canada', 'to', 'and']
bern, switzerland, paris, france, ['in', 'the', 'one', 'of', 'and']
bern, switzerland, rome, italy, ['the', 'in', 'of', 'and', 'to']
bern, switzerland, stockholm, sweden, ['in', 'sweden', 'one', 'the', 'of']
bern, switzerland, tehran, iran, ['university', 'iran', 'in', 'technology', 'college']
bern, switzerland, tokyo, japan, ['the', 'in', 'and', 'of', 'one']
bern, switzerland, athens, greece, ['of', 'the', 'in', 'and', 'to']
bern, switzerland, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
bern, switzerland, bangkok, thailand, ['thailand', 'post', 'international', 'airlines', 'air']
bern, switzerland, beijing, china, ['the', 'in', 'of', 'and', 'to']
bern, switzerland, berlin, germany, ['the', 'in', 'of', 'one', 'and']
cairo, egypt, canberra, australia, ['australia', 'australian', 'national', 'act', 'territory']
cairo, egypt, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'drummer']
cairo, egypt, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'via']
cairo, egypt, helsinki, finland, ['finland', 'of', 'university', 'nine', 'metropolitan']
cairo, egypt, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
cairo, egypt, kabul, afghanistan, ['the', 'of', 'afghanistan', 'one', 'city']
cairo, egypt, london, england, ['the', 'in', 'of', 'one', 'and']
cairo, egypt, madrid, spain, ['the', 'of', 'one', 'real', 'de']
cairo, egypt, moscow, russia, ['the', 'in', 'of', 'one', 'to']
cairo, egypt, oslo, norway, ['accords', 'norway', 'peace', 'nine', 'no']
cairo, egypt, ottawa, canada, ['canada', 'ontario', 'treaty', 'club', 'valley']
cairo, egypt, paris, france, ['in', 'the', 'one', 'of', 'and']
cairo, egypt, rome, italy, ['the', 'of', 'in', 'and', 'to']
cairo, egypt, stockholm, sweden, ['sweden', 'one', 'nine', 'technology', 'college']
cairo, egypt, tehran, iran, ['iran', 'technology', 'university', 'college', 'iranian']
cairo, egypt, tokyo, japan, ['one', 'japan', 'the', 'nine', 'and']
cairo, egypt, athens, greece, ['of', 'the', 'in', 'to', 'and']
cairo, egypt, baghdad, iraq, ['of', 'iraq', 'zero', 'eight', 'one']
cairo, egypt, bangkok, thailand, ['thailand', 'post', 'airlines', 'airways', 'singapore']
cairo, egypt, beijing, china, ['of', 'the', 'in', 'china', 'and']
cairo, egypt, berlin, germany, ['the', 'in', 'of', 'one', 'and']
cairo, egypt, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'or']
canberra, australia, hanoi, vietnam, ['vietnam', 'rocks', 'with', 'penh', 'vientiane']
canberra, australia, havana, cuba, ['cuba', 'in', 'to', 'embassy', 'and']
canberra, australia, helsinki, finland, ['of', 'the', 'in', 'finland', 'and']
canberra, australia, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on']
canberra, australia, kabul, afghanistan, ['the', 'in', 'of', 'and', 'to']
canberra, australia, london, england, ['the', 'in', 'of', 'one', 'and']
canberra, australia, madrid, spain, ['the', 'in', 'of', 'one', 'and']
canberra, australia, moscow, russia, ['in', 'the', 'of', 'and', 'to']
canberra, australia, oslo, norway, ['accords', 'the', 'norway', 'and', 'nine']
canberra, australia, ottawa, canada, ['in', 'the', 'canada', 'ontario', 'to']
canberra, australia, paris, france, ['in', 'the', 'one', 'of', 'and']
canberra, australia, rome, italy, ['the', 'in', 'of', 'and', 'to']
canberra, australia, stockholm, sweden, ['sweden', 'in', 'one', 'of', 'to']
canberra, australia, tehran, iran, ['iran', 'university', 'technology', 'iranian', 'after']
canberra, australia, tokyo, japan, ['the', 'in', 'and', 'of', 'one']
canberra, australia, athens, greece, ['of', 'the', 'in', 'and', 'to']
canberra, australia, baghdad, iraq, ['of', 'the', 'in', 'and', 'to']
canberra, australia, bangkok, thailand, ['thailand', 'post', 'international', 'airlines', 'airways']
canberra, australia, beijing, china, ['the', 'of', 'in', 'and', 'to']
canberra, australia, berlin, germany, ['the', 'in', 'of', 'one', 'and']
canberra, australia, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton']
canberra, australia, cairo, egypt, ['in', 'the', 'and', 'egypt', 'of']
hanoi, vietnam, havana, cuba, ['in', 'cuba', 'the', 'to', 'of']
hanoi, vietnam, helsinki, finland, ['the', 'of', 'in', 'university', 'finland']
hanoi, vietnam, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on']
hanoi, vietnam, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one']
hanoi, vietnam, london, england, ['the', 'in', 'of', 'one', 'and']
hanoi, vietnam, madrid, spain, ['the', 'in', 'of', 'one', 'and']
hanoi, vietnam, moscow, russia, ['in', 'the', 'of', 'and', 'one']
hanoi, vietnam, oslo, norway, ['the', 'accords', 'norway', 'in', 'of']
hanoi, vietnam, ottawa, canada, ['the', 'in', 'canada', 'to', 'of']
hanoi, vietnam, paris, france, ['in', 'the', 'one', 'of', 'and']
hanoi, vietnam, rome, italy, ['the', 'in', 'of', 'and', 'to']
hanoi, vietnam, stockholm, sweden, ['in', 'sweden', 'the', 'one', 'of']
hanoi, vietnam, tehran, iran, ['in', 'university', 'iran', 'of', 'the']
hanoi, vietnam, tokyo, japan, ['the', 'in', 'of', 'and', 'one']
hanoi, vietnam, athens, greece, ['of', 'the', 'in', 'and', 'to']
hanoi, vietnam, baghdad, iraq, ['the', 'of', 'in', 'and', 'to']
hanoi, vietnam, bangkok, thailand, ['thailand', 'post', 'zero', 'university', 'two']
hanoi, vietnam, beijing, china, ['the', 'in', 'of', 'and', 'to']
hanoi, vietnam, berlin, germany, ['the', 'in', 'of', 'one', 'and']
hanoi, vietnam, bern, switzerland, ['the', 'of', 'in', 'switzerland', 'berne']
hanoi, vietnam, cairo, egypt, ['in', 'the', 'of', 'and', 'to']
hanoi, vietnam, canberra, australia, ['the', 'in', 'one', 'of', 'australia']
havana, cuba, helsinki, finland, ['of', 'the', 'finland', 'university', 'in']
havana, cuba, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'capital']
havana, cuba, kabul, afghanistan, ['the', 'of', 'in', 'and', 'one']
havana, cuba, london, england, ['the', 'in', 'of', 'one', 'and']
havana, cuba, madrid, spain, ['the', 'of', 'in', 'one', 'and']
havana, cuba, moscow, russia, ['the', 'in', 'of', 'and', 'one']
havana, cuba, oslo, norway, ['the', 'accords', 'norway', 'nine', 'two']
havana, cuba, ottawa, canada, ['the', 'canada', 'ontario', 'in', 'to']
havana, cuba, paris, france, ['in', 'the', 'one', 'of', 'and']
havana, cuba, rome, italy, ['the', 'in', 'of', 'and', 'to']
havana, cuba, stockholm, sweden, ['sweden', 'in', 'one', 'of', 'the']
havana, cuba, tehran, iran, ['iran', 'university', 'technology', 'college', 'iranian']
havana, cuba, tokyo, japan, ['the', 'in', 'of', 'and', 'one']
havana, cuba, athens, greece, ['of', 'the', 'in', 'and', 'to']
havana, cuba, baghdad, iraq, ['of', 'the', 'in', 'and', 'to']
havana, cuba, bangkok, thailand, ['thailand', 'post', 'international', 'airlines', 'air']
havana, cuba, beijing, china, ['the', 'of', 'in', 'and', 'to']
havana, cuba, berlin, germany, ['the', 'in', 'of', 'one', 'and']
havana, cuba, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton']
havana, cuba, cairo, egypt, ['the', 'in', 'of', 'and', 'egypt']
havana, cuba, canberra, australia, ['australia', 'the', 'australian', 'one', 'university']
havana, cuba, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing']
helsinki, finland, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
helsinki, finland, kabul, afghanistan, ['the', 'in', 'and', 'afghanistan', 'to']
helsinki, finland, london, england, ['the', 'in', 'of', 'one', 'and']
helsinki, finland, madrid, spain, ['the', 'in', 'one', 'real', 'de']
helsinki, finland, moscow, russia, ['in', 'the', 'of', 'to', 'and']
helsinki, finland, oslo, norway, ['accords', 'norway', 'peace', 'no', 'three']
helsinki, finland, ottawa, canada, ['canada', 'ontario', 'treaty', 'to', 'valley']
helsinki, finland, paris, france, ['in', 'the', 'one', 'of', 'and']
helsinki, finland, rome, italy, ['the', 'in', 'of', 'and', 'to']
helsinki, finland, stockholm, sweden, ['sweden', 'one', 'in', 'college', 'seven']
helsinki, finland, tehran, iran, ['iran', 'college', 'iranian', 'regime', 'conference']
helsinki, finland, tokyo, japan, ['and', 'in', 'the', 'one', 'japan']
helsinki, finland, athens, greece, ['of', 'the', 'in', 'and', 'to']
helsinki, finland, baghdad, iraq, ['and', 'to', 'in', 'of', 'the']
helsinki, finland, bangkok, thailand, ['thailand', 'post', 'airlines', 'singapore', 'taipei']
helsinki, finland, beijing, china, ['the', 'in', 'of', 'and', 'china']
helsinki, finland, berlin, germany, ['the', 'in', 'of', 'one', 'and']
helsinki, finland, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton']
helsinki, finland, cairo, egypt, ['in', 'egypt', 'and', 'to', 'al']
helsinki, finland, canberra, australia, ['australia', 'australian', 'territory', 'de', 'institute']
helsinki, finland, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing']
helsinki, finland, havana, cuba, ['cuba', 'embassy', 'cuban', 'were', 'bay']
islamabad, pakistan, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one']
islamabad, pakistan, london, england, ['the', 'in', 'of', 'one', 'and']
islamabad, pakistan, madrid, spain, ['the', 'in', 'of', 'one', 'and']
islamabad, pakistan, moscow, russia, ['in', 'the', 'of', 'and', 'one']
islamabad, pakistan, oslo, norway, ['the', 'accords', 'of', 'norway', 'in']
islamabad, pakistan, ottawa, canada, ['the', 'in', 'of', 'and', 'canada']
islamabad, pakistan, paris, france, ['in', 'the', 'one', 'of', 'and']
islamabad, pakistan, rome, italy, ['the', 'in', 'of', 'and', 'to']
islamabad, pakistan, stockholm, sweden, ['in', 'sweden', 'one', 'the', 'of']
islamabad, pakistan, tehran, iran, ['in', 'university', 'of', 'the', 'iran']
islamabad, pakistan, tokyo, japan, ['the', 'in', 'of', 'and', 'one']
islamabad, pakistan, athens, greece, ['of', 'the', 'in', 'and', 'to']
islamabad, pakistan, baghdad, iraq, ['the', 'of', 'in', 'and', 'one']
islamabad, pakistan, bangkok, thailand, ['thailand', 'post', 'university', 'international', 'from']
islamabad, pakistan, beijing, china, ['the', 'of', 'in', 'and', 'to']
islamabad, pakistan, berlin, germany, ['the', 'in', 'of', 'one', 'and']
islamabad, pakistan, bern, switzerland, ['of', 'the', 'in', 'switzerland', 'berne']
islamabad, pakistan, cairo, egypt, ['in', 'the', 'of', 'and', 'to']
islamabad, pakistan, canberra, australia, ['the', 'one', 'of', 'in', 'australia']
islamabad, pakistan, hanoi, vietnam, ['and', 'vietnam', 'rocks', 'one', 'with']
islamabad, pakistan, havana, cuba, ['in', 'cuba', 'the', 'and', 'of']
islamabad, pakistan, helsinki, finland, ['the', 'of', 'in', 'university', 'and']
kabul, afghanistan, london, england, ['the', 'in', 'of', 'one', 'and']
kabul, afghanistan, madrid, spain, ['real', 'one', 'de', 'the', 'of']
kabul, afghanistan, moscow, russia, ['in', 'the', 'of', 'one', 'to']
kabul, afghanistan, oslo, norway, ['accords', 'norway', 'peace', 'no', 'three']
kabul, afghanistan, ottawa, canada, ['canada', 'ontario', 'treaty', 'curling', 'club']
kabul, afghanistan, paris, france, ['in', 'the', 'one', 'of', 'and']
kabul, afghanistan, rome, italy, ['the', 'in', 'of', 'to', 'and']
kabul, afghanistan, stockholm, sweden, ['sweden', 'technology', 'college', 'university', 'foundation']
kabul, afghanistan, tehran, iran, ['iran', 'university', 'technology', 'college', 'conference']
kabul, afghanistan, tokyo, japan, ['japan', 'university', 'one', 'nine', 'and']
kabul, afghanistan, athens, greece, ['of', 'the', 'in', 'to', 'and']
kabul, afghanistan, baghdad, iraq, ['of', 'iraq', 'zero', 'al', 'three']
kabul, afghanistan, bangkok, thailand, ['thailand', 'post', 'airlines', 'airways', 'air']
kabul, afghanistan, beijing, china, ['of', 'in', 'the', 'china', 'university']
kabul, afghanistan, berlin, germany, ['the', 'in', 'of', 'one', 'and']
kabul, afghanistan, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton']
kabul, afghanistan, cairo, egypt, ['egypt', 'al', 'alexandria', 'has', 'africa']
kabul, afghanistan, canberra, australia, ['australia', 'australian', 'house', 'college', 'de']
kabul, afghanistan, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'drummer']
kabul, afghanistan, havana, cuba, ['cuba', 'cuban', 'via', 'bay', 'economy']
kabul, afghanistan, helsinki, finland, ['finland', 'university', 'metropolitan', 'image', 'vantaa']
kabul, afghanistan, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
london, england, madrid, spain, ['real', 'de', 'spain', 'universidad', 'publicacion']
london, england, moscow, russia, ['russia', 'russian', 'soviet', 'state', 'peace']
london, england, oslo, norway, ['accords', 'norway', 'peace', 'irc', 'christiania']
london, england, ottawa, canada, ['canada', 'ontario', 'curling', 'citizen', 'valley']
london, england, paris, france, ['france', 'de', 'treaty', 'peace', 'french']
london, england, rome, italy, ['ancient', 'pope', 'italy', 'roman', 'bc']
london, england, stockholm, sweden, ['sweden', 'technology', 'gothenburg', 'foundation', 'se']
london, england, tehran, iran, ['iran', 'technology', 'regime', 'isfahan', 'yalta']
london, england, tokyo, japan, ['japan', 'narita', 'disneyland', 'japanese', 'subway']
london, england, athens, greece, ['greece', 'acropolis', 'ancient', 'greek', 'bc']
london, england, baghdad, iraq, ['iraq', 'abbasid', 'battery', 'caliph', 'caliphs']
london, england, bangkok, thailand, ['thailand', 'manila', 'bangalore', 'pyongyang', 'varig']
london, england, beijing, china, ['china', 'chinese', 'municipality', 'urban', 'dialect']
london, england, berlin, germany, ['wall', 'germany', 'west', 'german', 'east']
london, england, bern, switzerland, ['switzerland', 'berne', 'canton', 'wisconsin', 'township']
london, england, cairo, egypt, ['egypt', 'al', 'alexandria', 'nile', 'coptic']
london, england, canberra, australia, ['australian', 'australia', 'carta', 'liner', 'territory']
london, england, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'phnom']
london, england, havana, cuba, ['cuba', 'cuban', 'bay', 'castro', 'shorthair']
london, england, helsinki, finland, ['finland', 'vantaa', 'polytechnic', 'jpg', 'finnish']
london, england, islamabad, pakistan, ['pakistan', 'lahore', 'karachi', 'mosque', 'asking']
london, england, kabul, afghanistan, ['afghanistan', 'kandahar', 'afghan', 'captured', 'shah']
madrid, spain, moscow, russia, ['in', 'the', 'of', 'to', 'and']
madrid, spain, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc']
madrid, spain, ottawa, canada, ['canada', 'ontario', 'treaty', 'valley', 'curling']
madrid, spain, paris, france, ['in', 'the', 'one', 'of', 'and']
madrid, spain, rome, italy, ['in', 'the', 'of', 'and', 'to']
madrid, spain, stockholm, sweden, ['sweden', 'university', 'technology', 'college', 'foundation']
madrid, spain, tehran, iran, ['iran', 'university', 'technology', 'college', 'iranian']
madrid, spain, tokyo, japan, ['japan', 'university', 'and', 'narita', 'nine']
madrid, spain, athens, greece, ['of', 'the', 'in', 'and', 'to']
madrid, spain, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'caliph']
madrid, spain, bangkok, thailand, ['thailand', 'post', 'singapore', 'taipei', 'pacific']
madrid, spain, beijing, china, ['china', 'of', 'university', 'in', 'and']
madrid, spain, berlin, germany, ['the', 'in', 'of', 'one', 'and']
madrid, spain, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'or']
madrid, spain, cairo, egypt, ['egypt', 'al', 'alexandria', 'university', 'africa']
madrid, spain, canberra, australia, ['australia', 'australian', 'university', 'national', 'capital']
madrid, spain, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'drummer']
madrid, spain, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'economy']
madrid, spain, helsinki, finland, ['finland', 'university', 'image', 'vantaa', 'polytechnic']
madrid, spain, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
madrid, spain, kabul, afghanistan, ['afghanistan', 'city', 'river', 'kandahar', 'afghan']
madrid, spain, london, england, ['the', 'in', 'of', 'one', 'and']
moscow, russia, oslo, norway, ['accords', 'norway', 'no', 'irc', 'israel']
moscow, russia, ottawa, canada, ['canada', 'ontario', 'valley', 'curling', 'treaty']
moscow, russia, paris, france, ['in', 'the', 'one', 'of', 'and']
moscow, russia, rome, italy, ['of', 'the', 'in', 'and', 'to']
moscow, russia, stockholm, sweden, ['sweden', 'technology', 'college', 'foundation', 'se']
moscow, russia, tehran, iran, ['iran', 'technology', 'iranian', 'regime', 'isfahan']
moscow, russia, tokyo, japan, ['japan', 'university', 'narita', 'college', 'japanese']
moscow, russia, athens, greece, ['of', 'at', 'greece', 'ancient', 'is']
moscow, russia, baghdad, iraq, ['iraq', 'al', 'abbasid', 'province', 'battery']
moscow, russia, bangkok, thailand, ['thailand', 'post', 'airlines', 'singapore', 'taipei']
moscow, russia, beijing, china, ['china', 'university', 'is', 'chinese', 'urban']
moscow, russia, berlin, germany, ['the', 'of', 'in', 'one', 'and']
moscow, russia, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township']
moscow, russia, cairo, egypt, ['egypt', 'al', 'alexandria', 'africa', 'nile']
moscow, russia, canberra, australia, ['australia', 'australian', 'house', 'capital', 'de']
moscow, russia, hanoi, vietnam, ['rocks', 'vietnam', 'penh', 'bombing', 'drummer']
moscow, russia, havana, cuba, ['cuba', 'cuban', 'embassy', 'via', 'bay']
moscow, russia, helsinki, finland, ['finland', 'vantaa', 'polytechnic', 'university', 'metropolitan']
moscow, russia, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking']
moscow, russia, kabul, afghanistan, ['afghanistan', 'kandahar', 'river', 'afghan', 'valley']
