athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province', 'international', 'caliph', 'caliphs', 'iraqi', 'airport']
baghdad, iraq, canberra, australia, ['australia', 'university', 'australian', 'national', 'house', 'capital', 'college', 'de', 'territory', 'act']
baghdad, iraq, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'republic', 'moscow', 'phnom', 'band']
baghdad, iraq, havana, cuba, ['cuba', 'embassy', 'cuban', 'after', 'via', 'university', 'bay', 'around', 'economy', 'castro']
baghdad, iraq, helsinki, finland, ['university', 'finland', 'nine', 'also', 'metropolitan', 'vantaa', 'polytechnic', 'jpg', 'image', 'area']
baghdad, iraq, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'airlines', 'asking', 'introduction', 'aka', 'destined', 'intercontinental']
baghdad, iraq, kabul, afghanistan, ['the', 'afghanistan', 'in', 'and', 'city', 'river', 'nine', 'kandahar', 'university', 'at']
baghdad, iraq, london, england, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 'zero', 'a', 'two']
baghdad, iraq, madrid, spain, ['the', 'one', 'real', 'in', 'de', 'zero', 'of', 'spain', 'nine', 'new']
baghdad, iraq, moscow, russia, ['in', 'the', 'of', 'one', 'to', 'and', 'nine', 's', 'zero', 'a']
baghdad, iraq, oslo, norway, ['accords', 'norway', 'nine', 'peace', 'no', 'university', 'irc', 'now', 'israel', 'christiania']
baghdad, iraq, ottawa, canada, ['canada', 'ontario', 'treaty', 'club', 'valley', 'curling', 'university', 'are', 'citizen', 'montreal']
baghdad, iraq, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'france']
baghdad, iraq, rome, italy, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'a', 'at', 'he']
baghdad, iraq, stockholm, sweden, ['sweden', 'university', 'nine', 'college', 'technology', 'one', 'he', 'six', 'foundation', 'royal']
baghdad, iraq, tehran, iran, ['university', 'iran', 'technology', 'college', 'conference', 'sciences', 'air', 'medical', 'state', 'yalta']
baghdad, iraq, tokyo, japan, ['university', 'japan', 'one', 'and', 'in', 'nine', 'the', 'narita', 'four', 'two']
baghdad, iraq, athens, greece, ['of', 'the', 'in', 'and', 'to', 'at', 'was', 'a', 'greece', 'is']
bangkok, thailand, beijing, china, ['the', 'in', 'of', 'and', 'to', 'china', 's', 'is', 'university', 'zero']
bangkok, thailand, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 's', 'eight', 'a']
bangkok, thailand, bern, switzerland, ['of', 'the', 'in', 'switzerland', 'berne', 'one', 'or', 'and', 'nine', 'new']
bangkok, thailand, cairo, egypt, ['in', 'the', 'of', 'and', 'to', 'egypt', 'one', 'a', 'at', 'al']
bangkok, thailand, canberra, australia, ['the', 'in', 'one', 'of', 'australia', 'nine', 'australian', 'and', 'university', 'at']
bangkok, thailand, hanoi, vietnam, ['in', 'and', 'vietnam', 'rocks', 'with', 'of', 'one', 'the', 'penh', 'was']
bangkok, thailand, havana, cuba, ['in', 'cuba', 'the', 'of', 'and', 'one', 'to', 'a', 'nine', 'embassy']
bangkok, thailand, helsinki, finland, ['the', 'of', 'in', 'finland', 'and', 'one', 'university', 'nine', 'is', 'zero']
bangkok, thailand, islamabad, pakistan, ['pakistan', 'in', 'karachi', 'lahore', 'mosque', 'capital', 'to', 'on', 'an', 'is']
bangkok, thailand, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one', 'to', 'was', 'nine', 'from', 'afghanistan']
bangkok, thailand, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
bangkok, thailand, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'to', 'real', 'zero', 'de', 'nine']
bangkok, thailand, moscow, russia, ['in', 'the', 'of', 'and', 'one', 'to', 'nine', 'zero', 'a', 'was']
bangkok, thailand, oslo, norway, ['the', 'accords', 'in', 'of', 'norway', 'one', 'nine', 'and', 'zero', 'two']
bangkok, thailand, ottawa, canada, ['the', 'in', 'of', 'canada', 'and', 'to', 'ontario', 'one', 'treaty', 'a']
bangkok, thailand, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'zero']
bangkok, thailand, rome, italy, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'a', 'at', 'he']
bangkok, thailand, stockholm, sweden, ['in', 'sweden', 'the', 'one', 'of', 'nine', 'and', 'to', 'university', 'two']
bangkok, thailand, tehran, iran, ['in', 'of', 'the', 'university', 'iran', 'technology', 'one', 'and', 'college', 'to']
bangkok, thailand, tokyo, japan, ['the', 'in', 'of', 'and', 'one', 'nine', 'japan', 'university', 'zero', 'a']
bangkok, thailand, athens, greece, ['of', 'the', 'in', 'and', 'to', 'was', 'at', 'a', 'one', 'is']
bangkok, thailand, baghdad, iraq, ['the', 'of', 'in', 'and', 'to', 'one', 'was', 'zero', 'a', 'from']
beijing, china, berlin, germany, ['the', 'in', 'one', 'of', 'and', 'nine', 'to', 'west', 'eight', 'wall']
beijing, china, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township', 'swiss', 'oppidum', 'york', 'kansas', 'indiana']
beijing, china, cairo, egypt, ['egypt', 'al', 'alexandria', 'africa', 'egyptian', 'nile', 'american', 'at', 'arab', 'coptic']
beijing, china, canberra, australia, ['australia', 'australian', 'house', 'de', 'act', 'memorial', 'territory', 'sydney', 'carta', 'f']
beijing, china, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'phnom', 'band', 'rejected', 'verbal']
beijing, china, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'via', 'castro', 'seeking', 'mexico', 'economy', 'man']
beijing, china, helsinki, finland, ['finland', 'vantaa', 'polytechnic', 'metropolitan', 'finnish', 'fi', 'espoo', 'map', 'sweden', 'metro']
beijing, china, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking', 'early', 'introduction', 'aka', 'destined', 'intercontinental']
beijing, china, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley', 'captured', 'control', 'british', 'weekly', 'shah']
beijing, china, london, england, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 'zero', 'a', 'two']
beijing, china, madrid, spain, ['real', 'one', 'de', 'spain', 'universidad', 'new', 'three', 'six', 'on', 'la']
beijing, china, moscow, russia, ['in', 'the', 'one', 'to', 'nine', 'of', 'and', 'was', 'on', 'russia']
beijing, china, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc', 'israel', 'three', 'christiania', 'palestinians', 'then']
beijing, china, ottawa, canada, ['canada', 'ontario', 'treaty', 'club', 'valley', 'curling', 'citizen', 'montreal', 'parliament', 'kingston']
beijing, china, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'france', 'a']
beijing, china, rome, italy, ['the', 'in', 'of', 'to', 'and', 'one', 'was', 'a', 'at', 'he']
beijing, china, stockholm, sweden, ['sweden', 'college', 'foundation', 'he', 'royal', 'se', 'gothenburg', 'governors', 'one', 'm']
beijing, china, tehran, iran, ['iran', 'iranian', 'regime', 'college', 'sciences', 'isfahan', 'conference', 'yalta', 'technical', 'alaska']
beijing, china, tokyo, japan, ['japan', 'one', 'nine', 'narita', 'three', 'college', 'four', 'six', 'disneyland', 'japanese']
beijing, china, athens, greece, ['of', 'the', 'to', 'at', 'was', 'in', 'and', 'greece', 'he', 'a']
beijing, china, baghdad, iraq, ['iraq', 'al', 'abbasid', 'under', 'became', 'battery', 'caliph', 'caliphs', 'three', 'iraqi']
beijing, china, bangkok, thailand, ['thailand', 'post', 'airways', 'week', 'wales', 'turkish', 'incident', 'sung', 'manila', 'qantas']
berlin, germany, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township', 'swiss', 'oppidum', 'kansas', 'indiana', 'pennsylvania']
berlin, germany, cairo, egypt, ['egypt', 'al', 'alexandria', 'nile', 'egyptian', 'coptic', 'arab', 'arabic', 'cape', 'el']
berlin, germany, canberra, australia, ['australia', 'australian', 'sydney', 'outside', 'campaign', 'carta', 'liner', 'college', 'melbourne', 'magna']
berlin, germany, hanoi, vietnam, ['rocks', 'vietnam', 'penh', 'vientiane', 'drummer', 'phnom', 'sky', 'han', 'verbal', 'regimes']
berlin, germany, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'castro', 'seeking', 'province', 'mexico', 'shorthair', 'spanish']
berlin, germany, helsinki, finland, ['finland', 'metropolitan', 'vantaa', 'polytechnic', 'jpg', 'image', 'map', 'finnish', 'fi', 'espoo']
berlin, germany, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking', 'airlines', 'destined', 'intercontinental', 'jeddah', 'go']
berlin, germany, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley', 'captured', 'daily', 'shah', 'weekly', 'peshawar']
berlin, germany, london, england, ['the', 'of', 'in', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
berlin, germany, madrid, spain, ['real', 'de', 'spain', 'universidad', 'guide', 'la', 'attacks', 'publicacion', 'spanish', 'fault']
berlin, germany, moscow, russia, ['russia', 'russian', 'peace', 'state', 'metro', 'kremlin', 'jpg', 'patriarch', 'patriarchate', 'image']
berlin, germany, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc', 'israel', 'christiania', 'palestinians', 'stockholm', 'finland']
berlin, germany, ottawa, canada, ['canada', 'ontario', 'club', 'curling', 'valley', 'treaty', 'montreal', 'canadian', 'kingston', 'chippewa']
berlin, germany, paris, france, ['in', 'one', 'to', 'france', 'and', 'the', 'de', 'of', 'he', 'his']
berlin, germany, rome, italy, ['of', 'in', 'to', 'and', 'the', 'ancient', 'was', 'he', 'at', 'from']
berlin, germany, stockholm, sweden, ['sweden', 'technology', 'college', 'se', 'gothenburg', 'foundation', 'governors', 'ping', 'estonia', 'convention']
berlin, germany, tehran, iran, ['iran', 'technology', 'college', 'iranian', 'isfahan', 'yalta', 'aerospace', 'regime', 'iraq', 'taking']
berlin, germany, tokyo, japan, ['japan', 'narita', 'college', 'japanese', 'disneyland', 'university', 'edo', 'osaka', 'metropolitan', 'subway']
berlin, germany, athens, greece, ['greece', 'ancient', 'acropolis', 'greek', 'bc', 'sparta', 'athenian', 'thebes', 'municipality', 'attica']
berlin, germany, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province', 'caliph', 'caliphs', 'airport', 'iraqi', 'batteries']
berlin, germany, bangkok, thailand, ['thailand', 'airlines', 'singapore', 'taipei', 'hong', 'wales', 'basel', 'manila', 'bangalore', 'qantas']
berlin, germany, beijing, china, ['china', 'chinese', 'municipality', 'urban', 'university', 'dialect', 'technology', 'mandarin', 'temple', 'opera']
bern, switzerland, cairo, egypt, ['in', 'the', 'and', 'of', 'to', 'egypt', 'one', 'at', 'a', 'al']
bern, switzerland, canberra, australia, ['one', 'the', 'australia', 'australian', 'in', 'university', 'nine', 'zero', 'two', 'at']
bern, switzerland, hanoi, vietnam, ['vietnam', 'rocks', 'with', 'penh', 'vientiane', 'bombing', 'drummer', 'republic', 'radio', 'moscow']
bern, switzerland, havana, cuba, ['in', 'cuba', 'and', 'to', 'one', 'a', 'embassy', 'after', 'cuban', 'were']
bern, switzerland, helsinki, finland, ['the', 'of', 'in', 'university', 'finland', 'and', 'one', 'nine', 'zero', 'is']
bern, switzerland, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on', 'an', 'to', 'airlines', 'asking', 'it']
bern, switzerland, kabul, afghanistan, ['the', 'in', 'of', 'and', 'to', 'one', 'from', 'was', 'afghanistan', 'nine']
bern, switzerland, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
bern, switzerland, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'to', 'real', 'zero', 'de', 'nine']
bern, switzerland, moscow, russia, ['in', 'the', 'of', 'and', 'one', 'to', 'nine', 'zero', 'was', 'a']
bern, switzerland, oslo, norway, ['the', 'accords', 'norway', 'nine', 'one', 'and', 'in', 'zero', 'two', 'of']
bern, switzerland, ottawa, canada, ['the', 'in', 'canada', 'to', 'and', 'ontario', 'of', 'one', 'treaty', 'on']
bern, switzerland, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'zero']
bern, switzerland, rome, italy, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'a', 'at', 's']
bern, switzerland, stockholm, sweden, ['in', 'sweden', 'one', 'the', 'of', 'nine', 'to', 'and', 'university', 'two']
bern, switzerland, tehran, iran, ['university', 'iran', 'in', 'technology', 'college', 'to', 'iranian', 'conference', 'after', 'air']
bern, switzerland, tokyo, japan, ['the', 'in', 'and', 'of', 'one', 'nine', 'japan', 'university', 'zero', 'two']
bern, switzerland, athens, greece, ['of', 'the', 'in', 'and', 'to', 'was', 'at', 'a', 'one', 'from']
bern, switzerland, baghdad, iraq, ['the', 'of', 'in', 'and', 'to', 'one', 'zero', 'was', 'a', 'from']
bern, switzerland, bangkok, thailand, ['thailand', 'post', 'international', 'airlines', 'air', 'airways', 'hong', 'singapore', 'taipei', 'pacific']
bern, switzerland, beijing, china, ['the', 'in', 'of', 'and', 'to', 'china', 's', 'university', 'is', 'zero']
bern, switzerland, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 's', 'eight', 'a']
cairo, egypt, canberra, australia, ['australia', 'australian', 'national', 'act', 'territory', 'de', 'outside', 'memorial', 'studies', 'sydney']
cairo, egypt, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'drummer', 'phnom', 'moscow', 'band', 'bombing', 'outside']
cairo, egypt, havana, cuba, ['cuba', 'embassy', 'cuban', 'bay', 'via', 'after', 'province', 'around', 'castro', 'seeking']
cairo, egypt, helsinki, finland, ['finland', 'of', 'university', 'nine', 'metropolitan', 'vantaa', 'also', 'polytechnic', 's', 'central']
cairo, egypt, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'asking', 'airlines', 'introduction', 'aka', 'destined', 'intercontinental']
cairo, egypt, kabul, afghanistan, ['the', 'of', 'afghanistan', 'one', 'city', 'and', 'river', 'kandahar', 'was', 'nine']
cairo, egypt, london, england, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 'zero', 'a', 'two']
cairo, egypt, madrid, spain, ['the', 'of', 'one', 'real', 'de', 'zero', 'spain', 'in', 'nine', 'two']
cairo, egypt, moscow, russia, ['the', 'in', 'of', 'one', 'to', 'and', 'nine', 'zero', 's', 'was']
cairo, egypt, oslo, norway, ['accords', 'norway', 'peace', 'nine', 'no', 'two', 'irc', 'three', 'israel', 'christiania']
cairo, egypt, ottawa, canada, ['canada', 'ontario', 'treaty', 'club', 'valley', 'curling', 'citizen', 'montreal', 'parliament', 'street']
cairo, egypt, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'france']
cairo, egypt, rome, italy, ['the', 'of', 'in', 'and', 'to', 'one', 'was', 'a', 'he', 's']
cairo, egypt, stockholm, sweden, ['sweden', 'one', 'nine', 'technology', 'college', 'university', 'foundation', 'seven', 'two', 'royal']
cairo, egypt, tehran, iran, ['iran', 'technology', 'university', 'college', 'iranian', 'regime', 'embassy', 'air', 'isfahan', 'medical']
cairo, egypt, tokyo, japan, ['one', 'japan', 'the', 'nine', 'and', 'of', 'university', 'zero', 'two', 'narita']
cairo, egypt, athens, greece, ['of', 'the', 'in', 'to', 'and', 'was', 'at', 'a', 'greece', 'is']
cairo, egypt, baghdad, iraq, ['of', 'iraq', 'zero', 'eight', 'one', 'was', 'that', 'under', 'province', 'during']
cairo, egypt, bangkok, thailand, ['thailand', 'post', 'airlines', 'airways', 'singapore', 'air', 'week', 'wales', 'turkish', 'incident']
cairo, egypt, beijing, china, ['of', 'the', 'in', 'china', 'and', 's', 'university', 'to', 'is', 'zero']
cairo, egypt, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 's', 'west', 'eight']
cairo, egypt, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'or', 'name', 'township', 'swiss', 'oppidum', 'kansas']
canberra, australia, hanoi, vietnam, ['vietnam', 'rocks', 'with', 'penh', 'vientiane', 'bombing', 'drummer', 'republic', 'radio', 'phnom']
canberra, australia, havana, cuba, ['cuba', 'in', 'to', 'embassy', 'and', 'after', 'cuban', 'a', 'were', 'via']
canberra, australia, helsinki, finland, ['of', 'the', 'in', 'finland', 'and', 'university', 's', 'is', 'nine', 'zero']
canberra, australia, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on', 'airlines', 'asking', 'it', 'about', 'early']
canberra, australia, kabul, afghanistan, ['the', 'in', 'of', 'and', 'to', 'afghanistan', 'was', 'city', 'from', 'a']
canberra, australia, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
canberra, australia, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'real', 'to', 'zero', 'de', 'a']
canberra, australia, moscow, russia, ['in', 'the', 'of', 'and', 'to', 'one', 'nine', 'zero', 'was', 'a']
canberra, australia, oslo, norway, ['accords', 'the', 'norway', 'and', 'nine', 'peace', 'zero', 'no', 'two', 'three']
canberra, australia, ottawa, canada, ['in', 'the', 'canada', 'ontario', 'to', 'and', 'treaty', 'on', 'of', 'club']
canberra, australia, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'zero']
canberra, australia, rome, italy, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'a', 'at', 'he']
canberra, australia, stockholm, sweden, ['sweden', 'in', 'one', 'of', 'to', 'and', 'nine', 'he', 'the', 'technology']
canberra, australia, tehran, iran, ['iran', 'university', 'technology', 'iranian', 'after', 'regime', 'embassy', 'air', 'sciences', 'medical']
canberra, australia, tokyo, japan, ['the', 'in', 'and', 'of', 'one', 'japan', 'nine', 'university', 'zero', 'a']
canberra, australia, athens, greece, ['of', 'the', 'in', 'and', 'to', 'was', 'at', 'a', 'is', 'from']
canberra, australia, baghdad, iraq, ['of', 'the', 'in', 'and', 'to', 'was', 'a', 'zero', 'iraq', 'from']
canberra, australia, bangkok, thailand, ['thailand', 'post', 'international', 'airlines', 'airways', 'hong', 'singapore', 'taipei', 'air', 'week']
canberra, australia, beijing, china, ['the', 'of', 'in', 'and', 'to', 'china', 's', 'is', 'university', 'zero']
canberra, australia, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 's', 'eight', 'west']
canberra, australia, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton', 'north', 'township', 'swiss', 'oppidum', 'name']
canberra, australia, cairo, egypt, ['in', 'the', 'and', 'egypt', 'of', 'to', 'al', 'a', 'was', 'at']
hanoi, vietnam, havana, cuba, ['in', 'cuba', 'the', 'to', 'of', 'and', 'one', 'nine', 'a', 'embassy']
hanoi, vietnam, helsinki, finland, ['the', 'of', 'in', 'university', 'finland', 'one', 'and', 'nine', 'zero', 'is']
hanoi, vietnam, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'on', 'to', 'capital', 'is', 'it', 'airlines']
hanoi, vietnam, kabul, afghanistan, ['the', 'in', 'of', 'and', 'one', 'to', 'from', 'was', 'nine', 'afghanistan']
hanoi, vietnam, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
hanoi, vietnam, madrid, spain, ['the', 'in', 'of', 'one', 'and', 'to', 'zero', 'real', 'de', 'nine']
hanoi, vietnam, moscow, russia, ['in', 'the', 'of', 'and', 'one', 'to', 'nine', 'zero', 'a', 'was']
hanoi, vietnam, oslo, norway, ['the', 'accords', 'norway', 'in', 'of', 'nine', 'one', 'zero', 'and', 'two']
hanoi, vietnam, ottawa, canada, ['the', 'in', 'canada', 'to', 'of', 'and', 'ontario', 'one', 'treaty', 'from']
hanoi, vietnam, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'zero']
hanoi, vietnam, rome, italy, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'a', 'at', 'he']
hanoi, vietnam, stockholm, sweden, ['in', 'sweden', 'the', 'one', 'of', 'nine', 'to', 'university', 'and', 'two']
hanoi, vietnam, tehran, iran, ['in', 'university', 'iran', 'of', 'the', 'technology', 'college', 'zero', 'to', 'iranian']
hanoi, vietnam, tokyo, japan, ['the', 'in', 'of', 'and', 'one', 'nine', 'university', 'japan', 'zero', 'two']
hanoi, vietnam, athens, greece, ['of', 'the', 'in', 'and', 'to', 'was', 'at', 'a', 'one', 'is']
hanoi, vietnam, baghdad, iraq, ['the', 'of', 'in', 'and', 'to', 'one', 'zero', 'was', 'a', 'from']
hanoi, vietnam, bangkok, thailand, ['thailand', 'post', 'zero', 'university', 'two', 'airlines', 'from', 'airways', 'international', 'hong']
hanoi, vietnam, beijing, china, ['the', 'in', 'of', 'and', 'to', 'china', 's', 'university', 'is', 'zero']
hanoi, vietnam, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 's', 'eight', 'zero']
hanoi, vietnam, bern, switzerland, ['the', 'of', 'in', 'switzerland', 'berne', 'or', 'new', 'wisconsin', 'canton', 'zero']
hanoi, vietnam, cairo, egypt, ['in', 'the', 'of', 'and', 'to', 'egypt', 'one', 'a', 'at', 'al']
hanoi, vietnam, canberra, australia, ['the', 'in', 'one', 'of', 'australia', 'university', 'australian', 'nine', 'zero', 'two']
havana, cuba, helsinki, finland, ['of', 'the', 'finland', 'university', 'in', 'is', 'nine', 'zero', 's', 'one']
havana, cuba, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'capital', 'it', 'airlines', 'an', 'asking', 'about']
havana, cuba, kabul, afghanistan, ['the', 'of', 'in', 'and', 'one', 'to', 'afghanistan', 'from', 'was', 'city']
havana, cuba, london, england, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 'zero', 'a', 'two']
havana, cuba, madrid, spain, ['the', 'of', 'in', 'one', 'and', 'real', 'zero', 'to', 'de', 'nine']
havana, cuba, moscow, russia, ['the', 'in', 'of', 'and', 'one', 'to', 'nine', 'zero', 'was', 's']
havana, cuba, oslo, norway, ['the', 'accords', 'norway', 'nine', 'two', 'of', 'zero', 'one', 'peace', 'three']
havana, cuba, ottawa, canada, ['the', 'canada', 'ontario', 'in', 'to', 'of', 'and', 'treaty', 'two', 'at']
havana, cuba, paris, france, ['in', 'the', 'one', 'of', 'and', 'to', 'nine', 'eight', 'a', 'zero']
havana, cuba, rome, italy, ['the', 'in', 'of', 'and', 'to', 'one', 'was', 'a', 'at', 'he']
havana, cuba, stockholm, sweden, ['sweden', 'in', 'one', 'of', 'the', 'nine', 'university', 'two', 'college', 'technology']
havana, cuba, tehran, iran, ['iran', 'university', 'technology', 'college', 'iranian', 'conference', 'air', 'of', 'regime', 'sciences']
havana, cuba, tokyo, japan, ['the', 'in', 'of', 'and', 'one', 'japan', 'nine', 'university', 'zero', 'two']
havana, cuba, athens, greece, ['of', 'the', 'in', 'and', 'to', 'at', 'was', 'a', 'is', 'one']
havana, cuba, baghdad, iraq, ['of', 'the', 'in', 'and', 'to', 'zero', 'one', 'was', 'is', 'from']
havana, cuba, bangkok, thailand, ['thailand', 'post', 'international', 'airlines', 'air', 'airways', 'singapore', 'taipei', 'pacific', 'based']
havana, cuba, beijing, china, ['the', 'of', 'in', 'and', 'to', 'china', 's', 'is', 'university', 'zero']
havana, cuba, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'to', 'nine', 's', 'eight', 'west']
havana, cuba, bern, switzerland, ['switzerland', 'berne', 'or', 'wisconsin', 'canton', 'north', 'name', 'township', 'swiss', 'oppidum']
havana, cuba, cairo, egypt, ['the', 'in', 'of', 'and', 'egypt', 'to', 'at', 'al', 'is', 'from']
havana, cuba, canberra, australia, ['australia', 'the', 'australian', 'one', 'university', 'two', 'of', 'capital', 'at', 'national']
havana, cuba, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'with', 'republic', 'radio', 'moscow']
