athens, greece, baghdad, iraq, ['iraq']
bern, switzerland, tokyo, japan, ['the']
bern, switzerland, athens, greece, ['of']
bern, switzerland, baghdad, iraq, ['the']
bern, switzerland, bangkok, thailand, ['thailand']
bern, switzerland, beijing, china, ['the']
bern, switzerland, berlin, germany, ['the']
cairo, egypt, canberra, australia, ['australia']
cairo, egypt, hanoi, vietnam, ['vietnam']
cairo, egypt, havana, cuba, ['cuba']
cairo, egypt, helsinki, finland, ['finland']
cairo, egypt, islamabad, pakistan, ['pakistan']
cairo, egypt, kabul, afghanistan, ['the']
cairo, egypt, london, england, ['the']
cairo, egypt, madrid, spain, ['the']
cairo, egypt, moscow, russia, ['the']
cairo, egypt, oslo, norway, ['accords']
cairo, egypt, ottawa, canada, ['canada']
cairo, egypt, paris, france, ['in']
cairo, egypt, rome, italy, ['the']
cairo, egypt, stockholm, sweden, ['sweden']
cairo, egypt, tehran, iran, ['iran']
cairo, egypt, tokyo, japan, ['one']
cairo, egypt, athens, greece, ['of']
cairo, egypt, baghdad, iraq, ['of']
cairo, egypt, bangkok, thailand, ['thailand']
cairo, egypt, beijing, china, ['of']
cairo, egypt, berlin, germany, ['the']
cairo, egypt, bern, switzerland, ['switzerland']
canberra, australia, hanoi, vietnam, ['vietnam']
canberra, australia, havana, cuba, ['cuba']
canberra, australia, helsinki, finland, ['of']
canberra, australia, islamabad, pakistan, ['pakistan']
canberra, australia, kabul, afghanistan, ['the']
canberra, australia, london, england, ['the']
canberra, australia, madrid, spain, ['the']
canberra, australia, moscow, russia, ['in']
canberra, australia, oslo, norway, ['accords']
canberra, australia, ottawa, canada, ['in']
canberra, australia, paris, france, ['in']
canberra, australia, rome, italy, ['the']
canberra, australia, stockholm, sweden, ['sweden']
canberra, australia, tehran, iran, ['iran']
canberra, australia, tokyo, japan, ['the']
canberra, australia, athens, greece, ['of']
canberra, australia, baghdad, iraq, ['of']
canberra, australia, bangkok, thailand, ['thailand']
canberra, australia, beijing, china, ['the']
canberra, australia, berlin, germany, ['the']
canberra, australia, bern, switzerland, ['switzerland']
canberra, australia, cairo, egypt, ['in']
hanoi, vietnam, havana, cuba, ['in']
hanoi, vietnam, helsinki, finland, ['the']
hanoi, vietnam, islamabad, pakistan, ['pakistan']
hanoi, vietnam, kabul, afghanistan, ['the']
hanoi, vietnam, london, england, ['the']
hanoi, vietnam, madrid, spain, ['the']
hanoi, vietnam, moscow, russia, ['in']
hanoi, vietnam, oslo, norway, ['the']
hanoi, vietnam, ottawa, canada, ['the']
hanoi, vietnam, paris, france, ['in']
hanoi, vietnam, rome, italy, ['the']
hanoi, vietnam, stockholm, sweden, ['in']
hanoi, vietnam, tehran, iran, ['in']
hanoi, vietnam, tokyo, japan, ['the']
hanoi, vietnam, athens, greece, ['of']
hanoi, vietnam, baghdad, iraq, ['the']
hanoi, vietnam, bangkok, thailand, ['thailand']
hanoi, vietnam, beijing, china, ['the']
hanoi, vietnam, berlin, germany, ['the']
hanoi, vietnam, bern, switzerland, ['the']
hanoi, vietnam, cairo, egypt, ['in']
hanoi, vietnam, canberra, australia, ['the']
havana, cuba, helsinki, finland, ['of']
havana, cuba, islamabad, pakistan, ['pakistan']
havana, cuba, kabul, afghanistan, ['the']
havana, cuba, london, england, ['the']
havana, cuba, madrid, spain, ['the']
havana, cuba, moscow, russia, ['the']
havana, cuba, oslo, norway, ['the']
havana, cuba, ottawa, canada, ['the']
havana, cuba, paris, france, ['in']
havana, cuba, rome, italy, ['the']
havana, cuba, stockholm, sweden, ['sweden']
havana, cuba, tehran, iran, ['iran']
havana, cuba, tokyo, japan, ['the']
havana, cuba, athens, greece, ['of']
havana, cuba, baghdad, iraq, ['of']
havana, cuba, bangkok, thailand, ['thailand']
havana, cuba, beijing, china, ['the']
havana, cuba, berlin, germany, ['the']
havana, cuba, bern, switzerland, ['switzerland']
havana, cuba, cairo, egypt, ['the']
havana, cuba, canberra, australia, ['australia']
havana, cuba, hanoi, vietnam, ['vietnam']
helsinki, finland, islamabad, pakistan, ['pakistan']
helsinki, finland, kabul, afghanistan, ['the']
helsinki, finland, london, england, ['the']
helsinki, finland, madrid, spain, ['the']
helsinki, finland, moscow, russia, ['in']
helsinki, finland, oslo, norway, ['accords']
helsinki, finland, ottawa, canada, ['canada']
helsinki, finland, paris, france, ['in']
helsinki, finland, rome, italy, ['the']
helsinki, finland, stockholm, sweden, ['sweden']
helsinki, finland, tehran, iran, ['iran']
helsinki, finland, tokyo, japan, ['and']
helsinki, finland, athens, greece, ['of']
helsinki, finland, baghdad, iraq, ['and']
helsinki, finland, bangkok, thailand, ['thailand']
helsinki, finland, beijing, china, ['the']
helsinki, finland, berlin, germany, ['the']
helsinki, finland, bern, switzerland, ['switzerland']
helsinki, finland, cairo, egypt, ['in']
helsinki, finland, canberra, australia, ['australia']
helsinki, finland, hanoi, vietnam, ['vietnam']
helsinki, finland, havana, cuba, ['cuba']
islamabad, pakistan, kabul, afghanistan, ['the']
islamabad, pakistan, london, england, ['the']
islamabad, pakistan, madrid, spain, ['the']
islamabad, pakistan, moscow, russia, ['in']
islamabad, pakistan, oslo, norway, ['the']
islamabad, pakistan, ottawa, canada, ['the']
islamabad, pakistan, paris, france, ['in']
islamabad, pakistan, rome, italy, ['the']
islamabad, pakistan, stockholm, sweden, ['in']
islamabad, pakistan, tehran, iran, ['in']
islamabad, pakistan, tokyo, japan, ['the']
islamabad, pakistan, athens, greece, ['of']
islamabad, pakistan, baghdad, iraq, ['the']
islamabad, pakistan, bangkok, thailand, ['thailand']
islamabad, pakistan, beijing, china, ['the']
islamabad, pakistan, berlin, germany, ['the']
islamabad, pakistan, bern, switzerland, ['of']
islamabad, pakistan, cairo, egypt, ['in']
islamabad, pakistan, canberra, australia, ['the']
islamabad, pakistan, hanoi, vietnam, ['and']
islamabad, pakistan, havana, cuba, ['in']
islamabad, pakistan, helsinki, finland, ['the']
kabul, afghanistan, london, england, ['the']
kabul, afghanistan, madrid, spain, ['real']
kabul, afghanistan, moscow, russia, ['in']
kabul, afghanistan, oslo, norway, ['accords']
kabul, afghanistan, ottawa, canada, ['canada']
kabul, afghanistan, paris, france, ['in']
kabul, afghanistan, rome, italy, ['the']
kabul, afghanistan, stockholm, sweden, ['sweden']
kabul, afghanistan, tehran, iran, ['iran']
kabul, afghanistan, tokyo, japan, ['japan']
kabul, afghanistan, athens, greece, ['of']
kabul, afghanistan, baghdad, iraq, ['of']
kabul, afghanistan, bangkok, thailand, ['thailand']
kabul, afghanistan, beijing, china, ['of']
kabul, afghanistan, berlin, germany, ['the']
kabul, afghanistan, bern, switzerland, ['switzerland']
kabul, afghanistan, cairo, egypt, ['egypt']
kabul, afghanistan, canberra, australia, ['australia']
kabul, afghanistan, hanoi, vietnam, ['vietnam']
kabul, afghanistan, havana, cuba, ['cuba']
kabul, afghanistan, helsinki, finland, ['finland']
kabul, afghanistan, islamabad, pakistan, ['pakistan']
london, england, madrid, spain, ['real']
london, england, moscow, russia, ['russia']
london, england, oslo, norway, ['accords']
london, england, ottawa, canada, ['canada']
london, england, paris, france, ['france']
london, england, rome, italy, ['ancient']
london, england, stockholm, sweden, ['sweden']
london, england, tehran, iran, ['iran']
london, england, tokyo, japan, ['japan']
london, england, athens, greece, ['greece']
london, england, baghdad, iraq, ['iraq']
london, england, bangkok, thailand, ['thailand']
london, england, beijing, china, ['china']
london, england, berlin, germany, ['wall']
london, england, bern, switzerland, ['switzerland']
london, england, cairo, egypt, ['egypt']
london, england, canberra, australia, ['australian']
london, england, hanoi, vietnam, ['vietnam']
london, england, havana, cuba, ['cuba']
london, england, helsinki, finland, ['finland']
london, england, islamabad, pakistan, ['pakistan']
london, england, kabul, afghanistan, ['afghanistan']
madrid, spain, moscow, russia, ['in']
madrid, spain, oslo, norway, ['accords']
madrid, spain, ottawa, canada, ['canada']
madrid, spain, paris, france, ['in']
madrid, spain, rome, italy, ['in']
madrid, spain, stockholm, sweden, ['sweden']
madrid, spain, tehran, iran, ['iran']
madrid, spain, tokyo, japan, ['japan']
madrid, spain, athens, greece, ['of']
madrid, spain, baghdad, iraq, ['iraq']
madrid, spain, bangkok, thailand, ['thailand']
madrid, spain, beijing, china, ['china']
madrid, spain, berlin, germany, ['the']
madrid, spain, bern, switzerland, ['switzerland']
madrid, spain, cairo, egypt, ['egypt']
madrid, spain, canberra, australia, ['australia']
madrid, spain, hanoi, vietnam, ['vietnam']
madrid, spain, havana, cuba, ['cuba']
madrid, spain, helsinki, finland, ['finland']
madrid, spain, islamabad, pakistan, ['pakistan']
madrid, spain, kabul, afghanistan, ['afghanistan']
madrid, spain, london, england, ['the']
moscow, russia, oslo, norway, ['accords']
moscow, russia, ottawa, canada, ['canada']
moscow, russia, paris, france, ['in']
moscow, russia, rome, italy, ['of']
moscow, russia, stockholm, sweden, ['sweden']
moscow, russia, tehran, iran, ['iran']
moscow, russia, tokyo, japan, ['japan']
moscow, russia, athens, greece, ['of']
moscow, russia, baghdad, iraq, ['iraq']
moscow, russia, bangkok, thailand, ['thailand']
moscow, russia, beijing, china, ['china']
moscow, russia, berlin, germany, ['the']
moscow, russia, bern, switzerland, ['switzerland']
moscow, russia, cairo, egypt, ['egypt']
moscow, russia, canberra, australia, ['australia']
moscow, russia, hanoi, vietnam, ['rocks']
moscow, russia, havana, cuba, ['cuba']
moscow, russia, helsinki, finland, ['finland']
moscow, russia, islamabad, pakistan, ['pakistan']
moscow, russia, kabul, afghanistan, ['afghanistan']
moscow, russia, london, england, ['the']
moscow, russia, madrid, spain, ['real']
oslo, norway, ottawa, canada, ['in']
oslo, norway, paris, france, ['in']
oslo, norway, rome, italy, ['in']
oslo, norway, stockholm, sweden, ['sweden']
oslo, norway, tehran, iran, ['iran']
oslo, norway, tokyo, japan, ['in']
oslo, norway, athens, greece, ['of']
oslo, norway, baghdad, iraq, ['of']
oslo, norway, bangkok, thailand, ['thailand']
oslo, norway, beijing, china, ['of']
oslo, norway, berlin, germany, ['the']
oslo, norway, bern, switzerland, ['switzerland']
oslo, norway, cairo, egypt, ['in']
oslo, norway, canberra, australia, ['australia']
oslo, norway, hanoi, vietnam, ['vietnam']
oslo, norway, havana, cuba, ['cuba']
oslo, norway, helsinki, finland, ['of']
oslo, norway, islamabad, pakistan, ['pakistan']
oslo, norway, kabul, afghanistan, ['in']
oslo, norway, london, england, ['the']
oslo, norway, madrid, spain, ['the']
oslo, norway, moscow, russia, ['in']
ottawa, canada, paris, france, ['in']
ottawa, canada, rome, italy, ['the']
ottawa, canada, stockholm, sweden, ['sweden']
ottawa, canada, tehran, iran, ['iran']
ottawa, canada, tokyo, japan, ['the']
ottawa, canada, athens, greece, ['of']
ottawa, canada, baghdad, iraq, ['of']
ottawa, canada, bangkok, thailand, ['thailand']
ottawa, canada, beijing, china, ['of']
ottawa, canada, berlin, germany, ['the']
ottawa, canada, bern, switzerland, ['switzerland']
ottawa, canada, cairo, egypt, ['in']
ottawa, canada, canberra, australia, ['australia']
ottawa, canada, hanoi, vietnam, ['vietnam']
ottawa, canada, havana, cuba, ['cuba']
ottawa, canada, helsinki, finland, ['of']
ottawa, canada, islamabad, pakistan, ['pakistan']
ottawa, canada, kabul, afghanistan, ['the']
ottawa, canada, london, england, ['the']
ottawa, canada, madrid, spain, ['the']
ottawa, canada, moscow, russia, ['in']
ottawa, canada, oslo, norway, ['accords']
paris, france, rome, italy, ['of']
paris, france, stockholm, sweden, ['sweden']
paris, france, tehran, iran, ['iran']
paris, france, tokyo, japan, ['japan']
paris, france, athens, greece, ['greece']
paris, france, baghdad, iraq, ['iraq']
paris, france, bangkok, thailand, ['thailand']
paris, france, beijing, china, ['china']
paris, france, berlin, germany, ['west']
paris, france, bern, switzerland, ['switzerland']
paris, france, cairo, egypt, ['egypt']
paris, france, canberra, australia, ['australia']
paris, france, hanoi, vietnam, ['rocks']
paris, france, havana, cuba, ['cuba']
paris, france, helsinki, finland, ['finland']
paris, france, islamabad, pakistan, ['pakistan']
paris, france, kabul, afghanistan, ['afghanistan']
paris, france, london, england, ['the']
paris, france, madrid, spain, ['real']
paris, france, moscow, russia, ['russia']
paris, france, oslo, norway, ['accords']
paris, france, ottawa, canada, ['canada']
rome, italy, stockholm, sweden, ['sweden']
rome, italy, tehran, iran, ['iran']
rome, italy, tokyo, japan, ['japan']
rome, italy, athens, greece, ['acropolis']
rome, italy, baghdad, iraq, ['iraq']
rome, italy, bangkok, thailand, ['thailand']
rome, italy, beijing, china, ['china']
rome, italy, berlin, germany, ['west']
rome, italy, bern, switzerland, ['berne']
rome, italy, cairo, egypt, ['egypt']
rome, italy, canberra, australia, ['australia']
rome, italy, hanoi, vietnam, ['vietnam']
rome, italy, havana, cuba, ['cuba']
rome, italy, helsinki, finland, ['finland']
rome, italy, islamabad, pakistan, ['pakistan']
rome, italy, kabul, afghanistan, ['afghanistan']
rome, italy, london, england, ['the']
rome, italy, madrid, spain, ['real']
rome, italy, moscow, russia, ['russia']
rome, italy, oslo, norway, ['accords']
rome, italy, ottawa, canada, ['canada']
rome, italy, paris, france, ['one']
stockholm, sweden, tehran, iran, ['iran']
stockholm, sweden, tokyo, japan, ['the']
stockholm, sweden, athens, greece, ['of']
stockholm, sweden, baghdad, iraq, ['of']
stockholm, sweden, bangkok, thailand, ['thailand']
stockholm, sweden, beijing, china, ['the']
stockholm, sweden, berlin, germany, ['the']
stockholm, sweden, bern, switzerland, ['switzerland']
stockholm, sweden, cairo, egypt, ['the']
stockholm, sweden, canberra, australia, ['australia']
stockholm, sweden, hanoi, vietnam, ['vietnam']
stockholm, sweden, havana, cuba, ['cuba']
stockholm, sweden, helsinki, finland, ['the']
stockholm, sweden, islamabad, pakistan, ['pakistan']
stockholm, sweden, kabul, afghanistan, ['the']
stockholm, sweden, london, england, ['the']
stockholm, sweden, madrid, spain, ['the']
stockholm, sweden, moscow, russia, ['the']
stockholm, sweden, oslo, norway, ['accords']
stockholm, sweden, ottawa, canada, ['canada']
stockholm, sweden, paris, france, ['in']
stockholm, sweden, rome, italy, ['the']
tehran, iran, tokyo, japan, ['the']
tehran, iran, athens, greece, ['of']
tehran, iran, baghdad, iraq, ['the']
tehran, iran, bangkok, thailand, ['thailand']
tehran, iran, beijing, china, ['the']
tehran, iran, berlin, germany, ['the']
tehran, iran, bern, switzerland, ['switzerland']
tehran, iran, cairo, egypt, ['the']
tehran, iran, canberra, australia, ['one']
tehran, iran, hanoi, vietnam, ['vietnam']
tehran, iran, havana, cuba, ['cuba']
tehran, iran, helsinki, finland, ['the']
tehran, iran, islamabad, pakistan, ['pakistan']
tehran, iran, kabul, afghanistan, ['the']
tehran, iran, london, england, ['the']
tehran, iran, madrid, spain, ['the']
tehran, iran, moscow, russia, ['the']
tehran, iran, oslo, norway, ['the']
tehran, iran, ottawa, canada, ['the']
tehran, iran, paris, france, ['in']
tehran, iran, rome, italy, ['the']
tehran, iran, stockholm, sweden, ['sweden']
tokyo, japan, athens, greece, ['of']
tokyo, japan, baghdad, iraq, ['was']
tokyo, japan, bangkok, thailand, ['thailand']
tokyo, japan, beijing, china, ['of']
tokyo, japan, berlin, germany, ['the']
tokyo, japan, bern, switzerland, ['switzerland']
tokyo, japan, cairo, egypt, ['egypt']
tokyo, japan, canberra, australia, ['australia']
tokyo, japan, hanoi, vietnam, ['vietnam']
tokyo, japan, havana, cuba, ['cuba']
tokyo, japan, helsinki, finland, ['finland']
tokyo, japan, islamabad, pakistan, ['pakistan']
tokyo, japan, kabul, afghanistan, ['afghanistan']
tokyo, japan, london, england, ['the']
tokyo, japan, madrid, spain, ['real']
tokyo, japan, moscow, russia, ['in']
tokyo, japan, oslo, norway, ['accords']
tokyo, japan, ottawa, canada, ['canada']
tokyo, japan, paris, france, ['in']
tokyo, japan, rome, italy, ['the']
tokyo, japan, stockholm, sweden, ['sweden']
tokyo, japan, tehran, iran, ['iran']
accra, ghana, algiers, algeria, ['the']
accra, ghana, amman, jordan, ['jordan']
accra, ghana, ankara, turkey, ['of']
accra, ghana, antananarivo, madagascar, ['madagascar']
accra, ghana, asmara, eritrea, ['one']
accra, ghana, astana, kazakhstan, ['almaty']
accra, ghana, athens, greece, ['of']
accra, ghana, baghdad, iraq, ['of']
accra, ghana, baku, azerbaijan, ['the']
accra, ghana, bamako, mali, ['convention']
accra, ghana, bangkok, thailand, ['thailand']
accra, ghana, beijing, china, ['the']
accra, ghana, beirut, lebanon, ['in']
accra, ghana, belgrade, serbia, ['in']
accra, ghana, berlin, germany, ['the']
accra, ghana, bern, switzerland, ['of']
accra, ghana, bishkek, kyrgyzstan, ['is']
accra, ghana, bratislava, slovakia, ['one']
accra, ghana, brussels, belgium, ['the']
accra, ghana, bucharest, romania, ['one']
accra, ghana, budapest, hungary, ['in']
accra, ghana, bujumbura, burundi, ['burundi']
accra, ghana, cairo, egypt, ['in']
accra, ghana, canberra, australia, ['one']
accra, ghana, caracas, venezuela, ['venezuela']
accra, ghana, chisinau, moldova, ['moldova']
accra, ghana, conakry, guinea, ['guinea']
accra, ghana, copenhagen, denmark, ['the']
accra, ghana, dakar, senegal, ['rally']
accra, ghana, damascus, syria, ['of']
accra, ghana, dhaka, bangladesh, ['university']
accra, ghana, doha, qatar, ['qatar']
accra, ghana, dublin, ireland, ['the']
algiers, algeria, amman, jordan, ['jordan']
algiers, algeria, ankara, turkey, ['turkey']
algiers, algeria, antananarivo, madagascar, ['madagascar']
algiers, algeria, asmara, eritrea, ['capital']
algiers, algeria, astana, kazakhstan, ['almaty']
algiers, algeria, athens, greece, ['of']
algiers, algeria, baghdad, iraq, ['of']
algiers, algeria, baku, azerbaijan, ['azerbaijan']
algiers, algeria, bamako, mali, ['convention']
algiers, algeria, bangkok, thailand, ['thailand']
algiers, algeria, beijing, china, ['the']
algiers, algeria, beirut, lebanon, ['in']
algiers, algeria, belgrade, serbia, ['in']
algiers, algeria, berlin, germany, ['the']
algiers, algeria, bern, switzerland, ['switzerland']
algiers, algeria, bishkek, kyrgyzstan, ['oblasty']
algiers, algeria, bratislava, slovakia, ['slovakia']
algiers, algeria, brussels, belgium, ['the']
algiers, algeria, bucharest, romania, ['romania']
algiers, algeria, budapest, hungary, ['hungary']
algiers, algeria, bujumbura, burundi, ['capital']
algiers, algeria, cairo, egypt, ['in']
algiers, algeria, canberra, australia, ['australia']
algiers, algeria, caracas, venezuela, ['venezuela']
algiers, algeria, chisinau, moldova, ['moldova']
algiers, algeria, conakry, guinea, ['guinea']
algiers, algeria, copenhagen, denmark, ['the']
algiers, algeria, dakar, senegal, ['rally']
algiers, algeria, damascus, syria, ['of']
algiers, algeria, dhaka, bangladesh, ['university']
algiers, algeria, doha, qatar, ['qatar']
algiers, algeria, dublin, ireland, ['the']
algiers, algeria, gaborone, botswana, ['near']
amman, jordan, ankara, turkey, ['of']
amman, jordan, antananarivo, madagascar, ['madagascar']
amman, jordan, asmara, eritrea, ['telephone']
amman, jordan, astana, kazakhstan, ['almaty']
amman, jordan, athens, greece, ['of']
amman, jordan, baghdad, iraq, ['of']
amman, jordan, baku, azerbaijan, ['the']
amman, jordan, bamako, mali, ['convention']
amman, jordan, bangkok, thailand, ['thailand']
amman, jordan, beijing, china, ['the']
amman, jordan, beirut, lebanon, ['in']
amman, jordan, belgrade, serbia, ['in']
amman, jordan, berlin, germany, ['the']
amman, jordan, bern, switzerland, ['of']
amman, jordan, bishkek, kyrgyzstan, ['is']
amman, jordan, bratislava, slovakia, ['the']
amman, jordan, brussels, belgium, ['the']
amman, jordan, bucharest, romania, ['one']
amman, jordan, budapest, hungary, ['in']
amman, jordan, bujumbura, burundi, ['burundi']
amman, jordan, cairo, egypt, ['in']
amman, jordan, canberra, australia, ['the']
amman, jordan, caracas, venezuela, ['venezuela']
amman, jordan, chisinau, moldova, ['moldova']
amman, jordan, conakry, guinea, ['guinea']
amman, jordan, copenhagen, denmark, ['the']
amman, jordan, dakar, senegal, ['rally']
amman, jordan, damascus, syria, ['of']
amman, jordan, dhaka, bangladesh, ['university']
amman, jordan, doha, qatar, ['qatar']
amman, jordan, dublin, ireland, ['the']
amman, jordan, gaborone, botswana, ['near']
amman, jordan, georgetown, guyana, ['university']
ankara, turkey, antananarivo, madagascar, ['madagascar']
ankara, turkey, asmara, eritrea, ['telephone']
ankara, turkey, astana, kazakhstan, ['almaty']
ankara, turkey, athens, greece, ['of']
ankara, turkey, baghdad, iraq, ['the']
ankara, turkey, baku, azerbaijan, ['azerbaijan']
ankara, turkey, bamako, mali, ['convention']
ankara, turkey, bangkok, thailand, ['thailand']
ankara, turkey, beijing, china, ['the']
ankara, turkey, beirut, lebanon, ['in']
ankara, turkey, belgrade, serbia, ['in']
ankara, turkey, berlin, germany, ['the']
ankara, turkey, bern, switzerland, ['switzerland']
ankara, turkey, bishkek, kyrgyzstan, ['oblasty']
ankara, turkey, bratislava, slovakia, ['slovakia']
ankara, turkey, brussels, belgium, ['the']
ankara, turkey, bucharest, romania, ['eight']
ankara, turkey, budapest, hungary, ['one']
ankara, turkey, bujumbura, burundi, ['burundi']
ankara, turkey, cairo, egypt, ['in']
ankara, turkey, canberra, australia, ['one']
ankara, turkey, caracas, venezuela, ['venezuela']
ankara, turkey, chisinau, moldova, ['moldova']
ankara, turkey, conakry, guinea, ['guinea']
ankara, turkey, copenhagen, denmark, ['the']
ankara, turkey, dakar, senegal, ['rally']
ankara, turkey, damascus, syria, ['of']
ankara, turkey, dhaka, bangladesh, ['chittagong']
ankara, turkey, doha, qatar, ['qatar']
ankara, turkey, dublin, ireland, ['the']
ankara, turkey, gaborone, botswana, ['near']
ankara, turkey, georgetown, guyana, ['university']
ankara, turkey, hanoi, vietnam, ['vietnam']
antananarivo, madagascar, asmara, eritrea, ['the']
antananarivo, madagascar, astana, kazakhstan, ['almaty']
antananarivo, madagascar, athens, greece, ['of']
antananarivo, madagascar, baghdad, iraq, ['the']
antananarivo, madagascar, baku, azerbaijan, ['the']
antananarivo, madagascar, bamako, mali, ['in']
antananarivo, madagascar, bangkok, thailand, ['thailand']
antananarivo, madagascar, beijing, china, ['the']
antananarivo, madagascar, beirut, lebanon, ['in']
antananarivo, madagascar, belgrade, serbia, ['in']
antananarivo, madagascar, berlin, germany, ['the']
antananarivo, madagascar, bern, switzerland, ['the']
antananarivo, madagascar, bishkek, kyrgyzstan, ['in']
antananarivo, madagascar, bratislava, slovakia, ['the']
antananarivo, madagascar, brussels, belgium, ['the']
antananarivo, madagascar, bucharest, romania, ['of']
antananarivo, madagascar, budapest, hungary, ['in']
antananarivo, madagascar, bujumbura, burundi, ['capital']
