athens, greece, baghdad, iraq, ['finland']
beijing, china, baghdad, iraq, ['germany']
beijing, china, bangkok, thailand, ['williamite']
berlin, germany, bern, switzerland, ['schleswig']
berlin, germany, cairo, egypt, ['countries']
berlin, germany, canberra, australia, ['belgium']
berlin, germany, hanoi, vietnam, ['navarre']
berlin, germany, havana, cuba, ['cuba']
berlin, germany, helsinki, finland, ['finland']
berlin, germany, islamabad, pakistan, ['poissy']
berlin, germany, kabul, afghanistan, ['afghanistan']
berlin, germany, london, england, ['britain']
berlin, germany, madrid, spain, ['france']
berlin, germany, moscow, russia, ['russia']
berlin, germany, oslo, norway, ['belgium']
berlin, germany, ottawa, canada, ['canada']
berlin, germany, paris, france, ['france']
berlin, germany, rome, italy, ['italy']
berlin, germany, stockholm, sweden, ['sweden']
berlin, germany, tehran, iran, ['schleswig']
berlin, germany, tokyo, japan, ['japan']
berlin, germany, athens, greece, ['greece']
berlin, germany, baghdad, iraq, ['spain']
berlin, germany, bangkok, thailand, ['williamite']
berlin, germany, beijing, china, ['cambodia']
bern, switzerland, cairo, egypt, ['greece']
bern, switzerland, canberra, australia, ['belgium']
bern, switzerland, hanoi, vietnam, ['italy']
bern, switzerland, havana, cuba, ['cuba']
bern, switzerland, helsinki, finland, ['finland']
bern, switzerland, islamabad, pakistan, ['innsbruck']
bern, switzerland, kabul, afghanistan, ['italy']
bern, switzerland, london, england, ['bonn']
bern, switzerland, madrid, spain, ['corsica']
bern, switzerland, moscow, russia, ['austria']
bern, switzerland, oslo, norway, ['norway']
bern, switzerland, ottawa, canada, ['ontario']
bern, switzerland, paris, france, ['france']
bern, switzerland, rome, italy, ['italy']
bern, switzerland, stockholm, sweden, ['sweden']
bern, switzerland, tehran, iran, ['iran']
bern, switzerland, tokyo, japan, ['italy']
bern, switzerland, athens, greece, ['greece']
bern, switzerland, baghdad, iraq, ['austria']
bern, switzerland, bangkok, thailand, ['thailand']
bern, switzerland, beijing, china, ['greece']
bern, switzerland, berlin, germany, ['germany']
cairo, egypt, canberra, australia, ['cheyenne']
cairo, egypt, hanoi, vietnam, ['superfluidity']
cairo, egypt, havana, cuba, ['afghanistan']
cairo, egypt, helsinki, finland, ['mississippi']
cairo, egypt, islamabad, pakistan, ['konya']
cairo, egypt, kabul, afghanistan, ['afghanistan']
cairo, egypt, london, england, ['washington']
cairo, egypt, madrid, spain, ['saussure']
cairo, egypt, moscow, russia, ['kabul']
cairo, egypt, oslo, norway, ['accords']
cairo, egypt, ottawa, canada, ['ontario']
cairo, egypt, paris, france, ['conservatoire']
cairo, egypt, rome, italy, ['persia']
cairo, egypt, stockholm, sweden, ['sweden']
cairo, egypt, tehran, iran, ['iran']
cairo, egypt, tokyo, japan, ['nagoya']
cairo, egypt, athens, greece, ['mesopotamia']
cairo, egypt, baghdad, iraq, ['persia']
cairo, egypt, bangkok, thailand, ['vauxhall']
cairo, egypt, beijing, china, ['mesopotamia']
cairo, egypt, berlin, germany, ['lothian']
cairo, egypt, bern, switzerland, ['rajasthan']
canberra, australia, hanoi, vietnam, ['brno']
canberra, australia, havana, cuba, ['cuba']
canberra, australia, helsinki, finland, ['kyrgyzstan']
canberra, australia, islamabad, pakistan, ['konya']
canberra, australia, kabul, afghanistan, ['tasmania']
canberra, australia, london, england, ['carver']
canberra, australia, madrid, spain, ['mozambique']
canberra, australia, moscow, russia, ['minnesota']
canberra, australia, oslo, norway, ['norway']
canberra, australia, ottawa, canada, ['canada']
canberra, australia, paris, france, ['lincolnshire']
canberra, australia, rome, italy, ['charlemagne']
canberra, australia, stockholm, sweden, ['sweden']
canberra, australia, tehran, iran, ['warwickshire']
canberra, australia, tokyo, japan, ['japan']
canberra, australia, athens, greece, ['greece']
canberra, australia, baghdad, iraq, ['indonesia']
canberra, australia, bangkok, thailand, ['thailand']
canberra, australia, beijing, china, ['cornwall']
canberra, australia, berlin, germany, ['indonesia']
canberra, australia, bern, switzerland, ['tasmania']
canberra, australia, cairo, egypt, ['morocco']
hanoi, vietnam, havana, cuba, ['cuba']
hanoi, vietnam, helsinki, finland, ['korea']
hanoi, vietnam, islamabad, pakistan, ['korea']
hanoi, vietnam, kabul, afghanistan, ['mexico']
hanoi, vietnam, london, england, ['washington']
hanoi, vietnam, madrid, spain, ['cuba']
hanoi, vietnam, moscow, russia, ['cuba']
hanoi, vietnam, oslo, norway, ['ut']
hanoi, vietnam, ottawa, canada, ['canada']
hanoi, vietnam, paris, france, ['falklands']
hanoi, vietnam, rome, italy, ['carthage']
hanoi, vietnam, stockholm, sweden, ['rwanda']
hanoi, vietnam, tehran, iran, ['falklands']
hanoi, vietnam, tokyo, japan, ['korea']
hanoi, vietnam, athens, greece, ['mexico']
hanoi, vietnam, baghdad, iraq, ['iraq']
hanoi, vietnam, bangkok, thailand, ['falklands']
hanoi, vietnam, beijing, china, ['greenland']
hanoi, vietnam, berlin, germany, ['west']
hanoi, vietnam, bern, switzerland, ['mexico']
hanoi, vietnam, cairo, egypt, ['algeria']
hanoi, vietnam, canberra, australia, ['south']
havana, cuba, helsinki, finland, ['colombia']
havana, cuba, islamabad, pakistan, ['petsamo']
havana, cuba, kabul, afghanistan, ['sudan']
havana, cuba, london, england, ['borough']
havana, cuba, madrid, spain, ['oro']
havana, cuba, moscow, russia, ['kabul']
havana, cuba, oslo, norway, ['accords']
havana, cuba, ottawa, canada, ['ontario']
havana, cuba, paris, france, ['de']
havana, cuba, rome, italy, ['octavian']
havana, cuba, stockholm, sweden, ['sweden']
havana, cuba, tehran, iran, ['iran']
havana, cuba, tokyo, japan, ['taiwan']
havana, cuba, athens, greece, ['cyprus']
havana, cuba, baghdad, iraq, ['bahrain']
havana, cuba, bangkok, thailand, ['oda']
havana, cuba, beijing, china, ['angola']
havana, cuba, berlin, germany, ['west']
havana, cuba, bern, switzerland, ['conakry']
havana, cuba, cairo, egypt, ['bahrain']
havana, cuba, canberra, australia, ['americas']
havana, cuba, hanoi, vietnam, ['bohemia']
helsinki, finland, islamabad, pakistan, ['switzerland']
helsinki, finland, kabul, afghanistan, ['greece']
helsinki, finland, london, england, ['britain']
helsinki, finland, madrid, spain, ['spain']
helsinki, finland, moscow, russia, ['rome']
helsinki, finland, oslo, norway, ['norway']
helsinki, finland, ottawa, canada, ['switzerland']
helsinki, finland, paris, france, ['france']
helsinki, finland, rome, italy, ['gaul']
helsinki, finland, stockholm, sweden, ['sweden']
helsinki, finland, tehran, iran, ['iran']
helsinki, finland, tokyo, japan, ['japan']
helsinki, finland, athens, greece, ['greece']
helsinki, finland, baghdad, iraq, ['spain']
helsinki, finland, bangkok, thailand, ['peninsular']
helsinki, finland, beijing, china, ['greece']
helsinki, finland, berlin, germany, ['germany']
helsinki, finland, bern, switzerland, ['galicia']
helsinki, finland, cairo, egypt, ['greece']
helsinki, finland, canberra, australia, ['germany']
helsinki, finland, hanoi, vietnam, ['navarre']
helsinki, finland, havana, cuba, ['hungary']
islamabad, pakistan, kabul, afghanistan, ['ussr']
islamabad, pakistan, london, england, ['faber']
islamabad, pakistan, madrid, spain, ['colombia']
islamabad, pakistan, moscow, russia, ['ussr']
islamabad, pakistan, oslo, norway, ['norway']
islamabad, pakistan, ottawa, canada, ['ussr']
islamabad, pakistan, paris, france, ['midlands']
islamabad, pakistan, rome, italy, ['judah']
islamabad, pakistan, stockholm, sweden, ['sweden']
islamabad, pakistan, tehran, iran, ['iran']
islamabad, pakistan, tokyo, japan, ['india']
islamabad, pakistan, athens, greece, ['egypt']
islamabad, pakistan, baghdad, iraq, ['ussr']
islamabad, pakistan, bangkok, thailand, ['thailand']
islamabad, pakistan, beijing, china, ['india']
islamabad, pakistan, berlin, germany, ['east']
islamabad, pakistan, bern, switzerland, ['queensland']
islamabad, pakistan, cairo, egypt, ['botswana']
islamabad, pakistan, canberra, australia, ['australia']
islamabad, pakistan, hanoi, vietnam, ['bohemia']
islamabad, pakistan, havana, cuba, ['afghanistan']
islamabad, pakistan, helsinki, finland, ['botswana']
kabul, afghanistan, london, england, ['britain']
kabul, afghanistan, madrid, spain, ['weimar']
kabul, afghanistan, moscow, russia, ['china']
kabul, afghanistan, oslo, norway, ['turkey']
kabul, afghanistan, ottawa, canada, ['northeastern']
kabul, afghanistan, paris, france, ['france']
kabul, afghanistan, rome, italy, ['greece']
kabul, afghanistan, stockholm, sweden, ['slovenia']
kabul, afghanistan, tehran, iran, ['iran']
kabul, afghanistan, tokyo, japan, ['japan']
kabul, afghanistan, athens, greece, ['greece']
kabul, afghanistan, baghdad, iraq, ['albania']
kabul, afghanistan, bangkok, thailand, ['oecd']
kabul, afghanistan, beijing, china, ['albania']
kabul, afghanistan, berlin, germany, ['germany']
kabul, afghanistan, bern, switzerland, ['tijuana']
kabul, afghanistan, cairo, egypt, ['albania']
kabul, afghanistan, canberra, australia, ['columbian']
kabul, afghanistan, hanoi, vietnam, ['slovak']
kabul, afghanistan, havana, cuba, ['cuba']
kabul, afghanistan, helsinki, finland, ['kyrgyzstan']
kabul, afghanistan, islamabad, pakistan, ['konya']
london, england, madrid, spain, ['spain']
london, england, moscow, russia, ['lincolnshire']
london, england, oslo, norway, ['norway']
london, england, ottawa, canada, ['saskatchewan']
london, england, paris, france, ['france']
london, england, rome, italy, ['carthage']
london, england, stockholm, sweden, ['sweden']
london, england, tehran, iran, ['warwickshire']
london, england, tokyo, japan, ['japan']
london, england, athens, greece, ['hertfordshire']
london, england, baghdad, iraq, ['spain']
london, england, bangkok, thailand, ['warwickshire']
london, england, beijing, china, ['limburg']
london, england, berlin, germany, ['sussex']
london, england, bern, switzerland, ['brittany']
london, england, cairo, egypt, ['spain']
london, england, canberra, australia, ['netherlands']
london, england, hanoi, vietnam, ['navarre']
london, england, havana, cuba, ['invade']
london, england, helsinki, finland, ['denmark']
london, england, islamabad, pakistan, ['konya']
london, england, kabul, afghanistan, ['carthage']
madrid, spain, moscow, russia, ['russia']
madrid, spain, oslo, norway, ['norway']
madrid, spain, ottawa, canada, ['saskatchewan']
madrid, spain, paris, france, ['france']
madrid, spain, rome, italy, ['gaul']
madrid, spain, stockholm, sweden, ['sweden']
madrid, spain, tehran, iran, ['iran']
madrid, spain, tokyo, japan, ['japan']
madrid, spain, athens, greece, ['greece']
madrid, spain, baghdad, iraq, ['germany']
madrid, spain, bangkok, thailand, ['turkey']
madrid, spain, beijing, china, ['india']
madrid, spain, berlin, germany, ['germany']
madrid, spain, bern, switzerland, ['lombardy']
madrid, spain, cairo, egypt, ['greece']
madrid, spain, canberra, australia, ['pakistan']
madrid, spain, hanoi, vietnam, ['bohemia']
madrid, spain, havana, cuba, ['afghanistan']
madrid, spain, helsinki, finland, ['pakistan']
madrid, spain, islamabad, pakistan, ['pakistan']
madrid, spain, kabul, afghanistan, ['afghanistan']
madrid, spain, london, england, ['britain']
moscow, russia, oslo, norway, ['poland']
moscow, russia, ottawa, canada, ['northeastern']
moscow, russia, paris, france, ['italy']
moscow, russia, rome, italy, ['italy']
moscow, russia, stockholm, sweden, ['sweden']
moscow, russia, tehran, iran, ['iran']
moscow, russia, tokyo, japan, ['japan']
moscow, russia, athens, greece, ['greece']
moscow, russia, baghdad, iraq, ['germany']
moscow, russia, bangkok, thailand, ['oda']
moscow, russia, beijing, china, ['turkey']
moscow, russia, berlin, germany, ['germany']
moscow, russia, bern, switzerland, ['flanders']
moscow, russia, cairo, egypt, ['italy']
moscow, russia, canberra, australia, ['invades']
moscow, russia, hanoi, vietnam, ['bohemia']
moscow, russia, havana, cuba, ['hungary']
moscow, russia, helsinki, finland, ['finland']
moscow, russia, islamabad, pakistan, ['stavropol']
moscow, russia, kabul, afghanistan, ['italy']
moscow, russia, london, england, ['britain']
moscow, russia, madrid, spain, ['spain']
oslo, norway, ottawa, canada, ['saskatchewan']
oslo, norway, paris, france, ['france']
oslo, norway, rome, italy, ['gaul']
oslo, norway, stockholm, sweden, ['sweden']
oslo, norway, tehran, iran, ['warwickshire']
oslo, norway, tokyo, japan, ['japan']
oslo, norway, athens, greece, ['denmark']
oslo, norway, baghdad, iraq, ['finland']
oslo, norway, bangkok, thailand, ['thailand']
oslo, norway, beijing, china, ['cornwall']
oslo, norway, berlin, germany, ['pakistan']
oslo, norway, bern, switzerland, ['nepal']
oslo, norway, cairo, egypt, ['denmark']
oslo, norway, canberra, australia, ['australia']
oslo, norway, hanoi, vietnam, ['brno']
oslo, norway, havana, cuba, ['cuba']
oslo, norway, helsinki, finland, ['denmark']
oslo, norway, islamabad, pakistan, ['pakistan']
oslo, norway, kabul, afghanistan, ['ukraine']
oslo, norway, london, england, ['hampshire']
oslo, norway, madrid, spain, ['denmark']
oslo, norway, moscow, russia, ['malaysia']
ottawa, canada, paris, france, ['france']
ottawa, canada, rome, italy, ['gaul']
ottawa, canada, stockholm, sweden, ['sweden']
ottawa, canada, tehran, iran, ['delhi']
ottawa, canada, tokyo, japan, ['japan']
ottawa, canada, athens, greece, ['greece']
ottawa, canada, baghdad, iraq, ['mumbai']
ottawa, canada, bangkok, thailand, ['printings']
ottawa, canada, beijing, china, ['cornwall']
ottawa, canada, berlin, germany, ['frankfurt']
ottawa, canada, bern, switzerland, ['hampshire']
ottawa, canada, cairo, egypt, ['morocco']
ottawa, canada, canberra, australia, ['australia']
ottawa, canada, hanoi, vietnam, ['bohemia']
ottawa, canada, havana, cuba, ['lesotho']
ottawa, canada, helsinki, finland, ['alberta']
ottawa, canada, islamabad, pakistan, ['quetta']
ottawa, canada, kabul, afghanistan, ['kandahar']
ottawa, canada, london, england, ['bfi']
ottawa, canada, madrid, spain, ['guatemala']
ottawa, canada, moscow, russia, ['hampshire']
ottawa, canada, oslo, norway, ['norway']
paris, france, rome, italy, ['russia']
paris, france, stockholm, sweden, ['sweden']
paris, france, tehran, iran, ['iran']
paris, france, tokyo, japan, ['japan']
paris, france, athens, greece, ['greece']
paris, france, baghdad, iraq, ['spain']
paris, france, bangkok, thailand, ['japan']
paris, france, beijing, china, ['cornwall']
paris, france, berlin, germany, ['germany']
paris, france, bern, switzerland, ['isambard']
paris, france, cairo, egypt, ['greece']
paris, france, canberra, australia, ['belgium']
paris, france, hanoi, vietnam, ['bohemia']
paris, france, havana, cuba, ['cuba']
paris, france, helsinki, finland, ['finland']
paris, france, islamabad, pakistan, ['petsamo']
paris, france, kabul, afghanistan, ['afghanistan']
paris, france, london, england, ['britain']
paris, france, madrid, spain, ['spain']
paris, france, moscow, russia, ['russia']
paris, france, oslo, norway, ['belgium']
paris, france, ottawa, canada, ['canada']
rome, italy, stockholm, sweden, ['sweden']
rome, italy, tehran, iran, ['warwickshire']
rome, italy, tokyo, japan, ['gyeonggi']
rome, italy, athens, greece, ['greece']
rome, italy, baghdad, iraq, ['belgium']
rome, italy, bangkok, thailand, ['natal']
rome, italy, beijing, china, ['cornwall']
rome, italy, berlin, germany, ['southern']
rome, italy, bern, switzerland, ['wyoming']
rome, italy, cairo, egypt, ['africa']
rome, italy, canberra, australia, ['australia']
rome, italy, hanoi, vietnam, ['moravia']
rome, italy, havana, cuba, ['cuba']
rome, italy, helsinki, finland, ['wyoming']
rome, italy, islamabad, pakistan, ['innsbruck']
rome, italy, kabul, afghanistan, ['westphalia']
rome, italy, london, england, ['longman']
rome, italy, madrid, spain, ['swaziland']
rome, italy, moscow, russia, ['belarus']
rome, italy, oslo, norway, ['belgium']
rome, italy, ottawa, canada, ['australia']
rome, italy, paris, france, ['france']
stockholm, sweden, tehran, iran, ['schleswig']
stockholm, sweden, tokyo, japan, ['japan']
stockholm, sweden, athens, greece, ['greece']
stockholm, sweden, baghdad, iraq, ['spain']
stockholm, sweden, bangkok, thailand, ['medline']
stockholm, sweden, beijing, china, ['cornwall']
stockholm, sweden, berlin, germany, ['germany']
stockholm, sweden, bern, switzerland, ['asturias']
stockholm, sweden, cairo, egypt, ['spain']
stockholm, sweden, canberra, australia, ['netherlands']
stockholm, sweden, hanoi, vietnam, ['navarre']
stockholm, sweden, havana, cuba, ['cuba']
stockholm, sweden, helsinki, finland, ['denmark']
stockholm, sweden, islamabad, pakistan, ['poissy']
stockholm, sweden, kabul, afghanistan, ['kandahar']
stockholm, sweden, london, england, ['york']
stockholm, sweden, madrid, spain, ['spain']
stockholm, sweden, moscow, russia, ['petersburg']
stockholm, sweden, oslo, norway, ['norway']
stockholm, sweden, ottawa, canada, ['saskatchewan']
stockholm, sweden, paris, france, ['france']
stockholm, sweden, rome, italy, ['spain']
tehran, iran, tokyo, japan, ['indonesia']
tehran, iran, athens, greece, ['egypt']
tehran, iran, baghdad, iraq, ['kuwait']
tehran, iran, bangkok, thailand, ['thailand']
tehran, iran, beijing, china, ['greenland']
tehran, iran, berlin, germany, ['occupied']
tehran, iran, bern, switzerland, ['macedonia']
tehran, iran, cairo, egypt, ['egypt']
tehran, iran, canberra, australia, ['cameroon']
tehran, iran, hanoi, vietnam, ['bohemia']
tehran, iran, havana, cuba, ['cuba']
tehran, iran, helsinki, finland, ['finland']
tehran, iran, islamabad, pakistan, ['petsamo']
tehran, iran, kabul, afghanistan, ['egypt']
tehran, iran, london, england, ['hodder']
tehran, iran, madrid, spain, ['salvador']
tehran, iran, moscow, russia, ['lenin']
tehran, iran, oslo, norway, ['zambia']
tehran, iran, ottawa, canada, ['ontario']
tehran, iran, paris, france, ['france']
tehran, iran, rome, italy, ['egypt']
tehran, iran, stockholm, sweden, ['bulgaria']
tokyo, japan, athens, greece, ['greece']
tokyo, japan, baghdad, iraq, ['invaded']
tokyo, japan, bangkok, thailand, ['thailand']
tokyo, japan, beijing, china, ['china']
tokyo, japan, berlin, germany, ['germany']
tokyo, japan, bern, switzerland, ['brittany']
tokyo, japan, cairo, egypt, ['greece']
tokyo, japan, canberra, australia, ['brittany']
tokyo, japan, hanoi, vietnam, ['bohemia']
tokyo, japan, havana, cuba, ['cuba']
tokyo, japan, helsinki, finland, ['finland']
tokyo, japan, islamabad, pakistan, ['essen']
tokyo, japan, kabul, afghanistan, ['afghanistan']
tokyo, japan, london, england, ['britain']
tokyo, japan, madrid, spain, ['seville']
tokyo, japan, moscow, russia, ['russia']
tokyo, japan, oslo, norway, ['haile']
tokyo, japan, ottawa, canada, ['canada']
tokyo, japan, paris, france, ['france']
tokyo, japan, rome, italy, ['emperor']
tokyo, japan, stockholm, sweden, ['sweden']
tokyo, japan, tehran, iran, ['iran']
accra, ghana, algiers, algeria, ['ethiopia']
accra, ghana, amman, jordan, ['kuwait']
accra, ghana, ankara, turkey, ['latvia']
accra, ghana, antananarivo, madagascar, ['jimsonweed']
accra, ghana, asmara, eritrea, ['cyprus']
accra, ghana, astana, kazakhstan, ['folkloristics']
accra, ghana, athens, greece, ['greece']
accra, ghana, baghdad, iraq, ['malta']
accra, ghana, baku, azerbaijan, ['malta']
accra, ghana, bamako, mali, ['cyprus']
accra, ghana, bangkok, thailand, ['johnsen']
accra, ghana, beijing, china, ['cyprus']
accra, ghana, beirut, lebanon, ['ethiopia']
accra, ghana, belgrade, serbia, ['ethiopia']
accra, ghana, berlin, germany, ['ussr']
accra, ghana, bern, switzerland, ['tate']
accra, ghana, bishkek, kyrgyzstan, ['hamburg']
accra, ghana, bratislava, slovakia, ['tate']
accra, ghana, brussels, belgium, ['latvia']
accra, ghana, bucharest, romania, ['czechoslovakia']
accra, ghana, budapest, hungary, ['hungary']
accra, ghana, bujumbura, burundi, ['sandow']
accra, ghana, cairo, egypt, ['albania']
accra, ghana, canberra, australia, ['embassy']
accra, ghana, caracas, venezuela, ['chung']
accra, ghana, chisinau, moldova, ['bilingualism']
accra, ghana, conakry, guinea, ['guinea']
accra, ghana, copenhagen, denmark, ['latvia']
accra, ghana, dakar, senegal, ['cumings']
accra, ghana, damascus, syria, ['ethiopia']
accra, ghana, dhaka, bangladesh, ['ethiopia']
accra, ghana, doha, qatar, ['nadine']
accra, ghana, dublin, ireland, ['cyprus']
algiers, algeria, amman, jordan, ['kuwait']
algiers, algeria, ankara, turkey, ['maharashtra']
algiers, algeria, antananarivo, madagascar, ['nonconfirmative']
algiers, algeria, asmara, eritrea, ['sligo']
algiers, algeria, astana, kazakhstan, ['wastelands']
algiers, algeria, athens, greece, ['greece']
algiers, algeria, baghdad, iraq, ['yemen']
algiers, algeria, baku, azerbaijan, ['yemen']
algiers, algeria, bamako, mali, ['ostpolitik']
algiers, algeria, bangkok, thailand, ['oda']
algiers, algeria, beijing, china, ['angola']
algiers, algeria, beirut, lebanon, ['yemen']
algiers, algeria, belgrade, serbia, ['yemen']
algiers, algeria, berlin, germany, ['germany']
algiers, algeria, bern, switzerland, ['yemen']
algiers, algeria, bishkek, kyrgyzstan, ['bayonne']
algiers, algeria, bratislava, slovakia, ['slovakia']
algiers, algeria, brussels, belgium, ['belgium']
algiers, algeria, bucharest, romania, ['slovenia']
algiers, algeria, budapest, hungary, ['slovenia']
algiers, algeria, bujumbura, burundi, ['opcodes']
algiers, algeria, cairo, egypt, ['yemen']
algiers, algeria, canberra, australia, ['yemen']
algiers, algeria, caracas, venezuela, ['pharmacology']
algiers, algeria, chisinau, moldova, ['bahia']
algiers, algeria, conakry, guinea, ['bayonne']
algiers, algeria, copenhagen, denmark, ['bolivia']
algiers, algeria, dakar, senegal, ['kermanshah']
algiers, algeria, damascus, syria, ['beirut']
algiers, algeria, dhaka, bangladesh, ['pernambuco']
algiers, algeria, doha, qatar, ['alles']
algiers, algeria, dublin, ireland, ['counties']
algiers, algeria, gaborone, botswana, ['minden']
amman, jordan, ankara, turkey, ['flaubert']
amman, jordan, antananarivo, madagascar, ['obote']
amman, jordan, asmara, eritrea, ['taipei']
amman, jordan, astana, kazakhstan, ['blackjacks']
amman, jordan, athens, greece, ['israel']
amman, jordan, baghdad, iraq, ['bulgaria']
amman, jordan, baku, azerbaijan, ['barren']
amman, jordan, bamako, mali, ['occured']
amman, jordan, bangkok, thailand, ['natal']
amman, jordan, beijing, china, ['greenland']
amman, jordan, beirut, lebanon, ['sudan']
amman, jordan, belgrade, serbia, ['transylvania']
amman, jordan, berlin, germany, ['hemisphere']
amman, jordan, bern, switzerland, ['canton']
amman, jordan, bishkek, kyrgyzstan, ['aldebaran']
amman, jordan, bratislava, slovakia, ['macbeth']
amman, jordan, brussels, belgium, ['south']
amman, jordan, bucharest, romania, ['wrath']
amman, jordan, budapest, hungary, ['transylvania']
amman, jordan, bujumbura, burundi, ['guayas']
amman, jordan, cairo, egypt, ['botswana']
amman, jordan, canberra, australia, ['sydney']
amman, jordan, caracas, venezuela, ['frankfort']
amman, jordan, chisinau, moldova, ['fertilization']
amman, jordan, conakry, guinea, ['spinal']
amman, jordan, copenhagen, denmark, ['taggart']
amman, jordan, dakar, senegal, ['tabor']
amman, jordan, damascus, syria, ['pearl']
amman, jordan, dhaka, bangladesh, ['universiti']
amman, jordan, doha, qatar, ['swarthmore']
amman, jordan, dublin, ireland, ['cork']
amman, jordan, gaborone, botswana, ['dobruja']
amman, jordan, georgetown, guyana, ['university']
ankara, turkey, antananarivo, madagascar, ['constructively']
ankara, turkey, asmara, eritrea, ['dabbled']
ankara, turkey, astana, kazakhstan, ['webmasters']
ankara, turkey, athens, greece, ['greece']
ankara, turkey, baghdad, iraq, ['invaded']
ankara, turkey, baku, azerbaijan, ['croatia']
ankara, turkey, bamako, mali, ['mustangs']
ankara, turkey, bangkok, thailand, ['williamite']
ankara, turkey, beijing, china, ['greece']
ankara, turkey, beirut, lebanon, ['yemen']
ankara, turkey, belgrade, serbia, ['bulgaria']
ankara, turkey, berlin, germany, ['invaded']
ankara, turkey, bern, switzerland, ['philippines']
ankara, turkey, bishkek, kyrgyzstan, ['switzerland']
ankara, turkey, bratislava, slovakia, ['letsie']
ankara, turkey, brussels, belgium, ['belgium']
ankara, turkey, bucharest, romania, ['romania']
ankara, turkey, budapest, hungary, ['slovenia']
ankara, turkey, bujumbura, burundi, ['constructively']
ankara, turkey, cairo, egypt, ['greece']
ankara, turkey, canberra, australia, ['netherlands']
ankara, turkey, caracas, venezuela, ['venezuela']
ankara, turkey, chisinau, moldova, ['dabbled']
